sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28
56.mzML	56.mzML	0.0119	0.238	10N.H1	10N_H1	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	22.0	weeks	23/4/2021	HCC	FT	ZT1	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
57.mzML	57.mzML	0.0186	0.3720000000000001	7N.H1	7N_H1	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	22.0	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58.mzML	58.mzML	0.0316	0.632	7L.H1	7L_H1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	22.0	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
59.mzML	59.mzML	0.0132	0.264	8N.H1	8N_H1	8N	stool	19/11/2020	27/4/2021	M	STZ_8	22	22.0	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6.mzML	6.mzML	0.0053	0.106	7L.T1	7L_T1	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	7.0	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
60.mzML	60.mzML	0.0153	0.306	8L.H1	8L_H1	8L	stool	19/11/2020	27/4/2021	M	STZ_8	22	22.0	weeks	23/4/2021	HCC	FA	ZT1	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
61.mzML	61.mzML	0.023	0.46	9bN.H1	9bN_H1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
62.mzML	62.mzML	0.0497	0.994	9bB.H1	9bB_H1	9bB	stool	24/11/2020	26/4/2021	M	STZ_9b	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
63.mzML	63.mzML	0.0839	1.6780000000000002	11L.H1	11L_H1	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
64.mzML	64.mzML	0.0205	0.41	11B.H1	11B_H1	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_14L	C57_14M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
65.mzML	65.mzML	0.0353	0.706	12R.H1	12R_H1	12R	stool	22/11/2020	27/4/2021	M	STZ_12	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
66.mzML	66.mzML	0.13699999999999998	2.74	12B.H1	12B_H1	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	22.0	weeks	23/4/2021	HCC	NaN	ZT1	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
67.mzML	67.mzML	0.0164	0.328	5L.H13	5L_H13	5L	stool	19/11/2020	27/4/2021	M	STZ_5	22	22.0	weeks	23/4/2021	HCC	FT	ZT13	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
68.mzML	68.mzML	0.0176	0.35200000000000004	10N.H13	10N_H13	10N	stool	18/11/2020	26/4/2021	M	STZ_10	22	22.0	weeks	23/4/2021	HCC	FT	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
69.mzML	69.mzML	0.0322	0.644	7N.H13	7N_H13	7N	stool	18/11/2020	27/4/2021	M	STZ_7	22	22.0	weeks	23/4/2021	HCC	FA	ZT13	C57BL/6	C57_5L	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.mzML	7.mzML	0.0104	0.208	9aL.T1	9aL_T1	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	7.0	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
70.mzML	70.mzML	0.03	0.6	7L.H13	7L_H13	7L	stool	18/11/2020	26/4/2021	M	STZ_7	22	22.0	weeks	23/4/2021	HCC	FA	ZT13	C57BL/6	C57_11N	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
71.mzML	71.mzML	0.0175	0.35	8N.H13	8N_H13	8N	stool	19/11/2020	27/4/2021	M	STZ_8	22	22.0	weeks	23/4/2021	HCC	FA	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
72.mzML	72.mzML	0.0101	0.202	9aL.H13	9aL_H13	9aL	stool	20/11/2020	26/4/2021	M	STZ_9a	22	22.0	weeks	23/4/2021	HCC	FA	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
73.mzML	73.mzML	0.0313	0.626	9aR.H13	9aR_H13	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	22.0	weeks	23/4/2021	HCC	FA	ZT13	C57BL/6	C57_13N	C57_13B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
74.mzML	74.mzML	0.0762	1.524	9bN.H13	9bN_H13	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
75.mzML	75.mzML	0.0434	0.868	9bB.H13	9bB_H13	9bB	stool	24/11/2020	26/4/2021	M	STZ_9b	22	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
76.mzML	76.mzML	0.0319	0.638	11L.H13	11L_H13	11L	stool	19/11/2020	26/4/2021	M	STZ_11	22	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_12L	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
77.mzML	77.mzML	0.0434	0.868	11B.H13	11B_H13	11B	stool	19/11/2020	27/4/2021	M	STZ_11	22	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_14L	C57_14M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
78.mzML	78.mzML	0.0402	0.804	12L.H13	12L_H13	12L	stool	20/11/2020	12/3/2021	M	STZ_12	not_applicable	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_5N	C57_5M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
79.mzML	79.mzML	0.0574	1.148	12B.H13	12B_H13	12B	stool	24/11/2020	26/4/2021	M	STZ_12	22	22.0	weeks	23/4/2021	HCC	NaN	ZT13	C57BL/6	C57_2N	C57_2M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8.mzML	8.mzML	0.0202	0.404	9aR.T1	9aR_T1	9aR	stool	19/11/2020	27/4/2021	M	STZ_9a	22	7.0	weeks	13/1/2021	TRF	FA	ZT1	C57BL/6	C57_13N	C57_13B	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
80.mzML	80.mzML	0.0106	0.212	13N.T1	13N_T1	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_12N	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
81.mzML	81.mzML	0.0434	0.868	13L.T1	13L_T1	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
82.mzML	82.mzML	0.0315	0.63	14L.T1	14L_T1	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
83.mzML	83.mzML	0.0655	1.31	14R.T1	14R_T1	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
84.mzML	84.mzML	0.0397	0.794	15L.T1	15L_T1	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
85.mzML	85.mzML	0.0647	1.294	16R.T1	16R_T1	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	7.0	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_8N	C57_8M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
86.mzML	86.mzML	0.0468	0.936	17N.T1	17N_T1	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	7.0	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_15N	C57_15M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
87.mzML	87.mzML	0.0228	0.456	17R.T1	17R_T1	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	7.0	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_8N	C57_8M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
88.mzML	88.mzML	0.0368	0.736	18L.T1	18L_T1	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	7.0	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_7L	C57_7M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
89.mzML	89.mzML	0.0409	0.818	20N.T1	20N_T1	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	7.0	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_1N	C57_1M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9.mzML	9.mzML	0.0126	0.252	9bN.T1	9bN_T1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	7.0	weeks	13/1/2021	TRF	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
90.mzML	90.mzML	0.1072	2.144	21L.T1	21L_T1	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_9N	C57_9M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
91.mzML	91.mzML	0.0912	1.824	21R.T1	21R_T1	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_13N	C57_13M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
92.mzML	92.mzML	0.0764	1.528	22L.T1	22L_T1	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
93.mzML	93.mzML	0.0368	0.736	22N.T1	22N_T1	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
94.mzML	94.mzML	0.101	2.02	23N.T1	23N_T1	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_3L	C57_3M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
95.mzML	95.mzML	0.0628	1.256	24L.T1	24L_T1	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	7.0	weeks	18/3/2021	TRF	NaN	ZT1	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
96.mzML	96.mzML	0.0565	1.13	13N.T13	13N_T13	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	7.0	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_12N	C57_12M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
97.mzML	97.mzML	0.0242	0.484	13L.T13	13L_T13	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	7.0	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
98.mzML	98.mzML	0.0578	1.156	14L.T13	14L_T13	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	7.0	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
99.mzML	99.mzML	0.0859	1.7180000000000002	14R.T13	14R_T13	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	7.0	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_11L	C57_11M	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
blank_start_t2_1.mzML Peak area	blank_start_t2_1.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
blank_start_t2_2.mzML Peak area	blank_start_t2_2.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
blank_start_t2_3.mzML Peak area	blank_start_t2_3.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
extract_blank_1.mzML Peak area	extract_blank_1.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
extract_blank_2.mzML Peak area	extract_blank_2.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
extract_blank_3.mzML Peak area	extract_blank_3.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
extract_blank_4.mzML Peak area	extract_blank_4.mzML Peak area	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
