row ID	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
88	105283.7622	1566770.057	920994.8766	1096114.948	1831726.122	2099501.199	109229.0731	34200.45603	26771.44896	54021.75707	4637.6385	15685.63733	88195.70412	30019.07172
89	7192626.089	6447126.754	6997806.364	6616691.406	6774653.248	6765972.947	7277097.399	6947440.5	6889984.733	6769776.786	7049687.792	6968309.576	6883584.23	6970799.208
90	1582700.229	1262316.388	1530784.076	362524.6335	877142.8546	1116449.426	1384555.616	1741285.42	1629500.615	1106223.476	1267919.319	1014055.912	1589885.193	1412112.527
91	1855204.61	1209535.074	1784338.033	357714.8465	811076.588	1041064.641	1456026.658	1641388.824	1558775.042	1196846.284	1324598.069	999154.5268	1778609.032	1195201.105
92	517949.3547	553179.6389	652113.504	689571.1397	576422.2386	684758.2196	712245.6812	594704.129	609608.7099	538046.8023	544092.7594	544556.6629	555243.6069	566749.6377
93	775035.5362	744147.331	828403.8634	771489.3437	777354.9437	819884.0221	761371.1263	790911.899	782469.5764	818472.8801	832198.5152	851119.2519	808092.6871	814172.1369
94	8769495.791	8657590.845	7413463.414	3341595.815	2292892.499	2628398.462	4013429.94	5107594.03	5046606.383	4961108.184	4494325.065	3171453.38	10100000	5223298.216
95	435919.1127	300525.1535	457624.4341	539551.7942	643697.9296	316963.2652	517757.0353	465373.8339	1412386.084	498789.7889	446890.274	518398.404	932940.7379	629456.4308
96	455146.5819	457119.7952	237309.0542	173321.7388	227668.1368	146414.77	746241.3451	2527209.597	933310.1964	1026638.74	1275332.808	594998.6495	1267150.667	2670472.886
97	1191544.885	681421.7868	1250813.066	567887.2635	329401.5064	217204.2456	925720.5055	1084922.045	3661653.261	836746.7086	2156674.812	582631.6523	1291665.185	1312393.556
98	3744268.406	1407788.77	5391202.048	2294925.641	960496.9985	405330.5463	1738497.504	1165446.718	657064.8668	2000318.42	767282.0303	1482101.668	2485645.565	1679143.96
99	3710050.941	961835.637	1387580.282	3554806.333	1062187.981	3850762.494	2478138.53	1282188.12	1290277.455	1702411.634	1230425.016	2416637.271	1349407.321	2486058.724
100	1815172.348	1984801.374	2186517.359	2376469.279	2291564.889	2428532.295	2115874.784	2306633.847	1948548.768	2390430.431	2243333.533	2281247.487	2186264.801	2010404.902
