row ID	1.mzML Peak area	2.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area
1745	5267.201773	104847.9127	7422.272571	1048994.862	286323.6658	3750.073421	4797.455827	3693.119757	18503.72582	3838.929318	198725.392	212789.9729	3292.324015	136440.979	224531.9059	2511.830006	122878.404	115364.9689
1746	181779.4205	260513.8888	546141.4888	53009.75771	250849.7963	32747.46672	451984.0002	3158124.934	2279391.595	3198594.8	672284.306	673603.261	1532716.007	266369.0621	869974.4598	1576477.723	392552.4531	938771.2678
1747	3209284.413	811093.8238	767785.4646	136783.6081	236072.1964	189787.201	298613.1149	1252930.985	673219.9832	1046610.264	466843.6085	240424.4382	634439.6333	111071.758	3026072.228	1045722.893	212523.3717	744237.424
1748	25509.61891	223684.4435	40609.19328	1512792.197	513617.5493	4615.521921	9728.400548	77286.46181	61867.46135	13187.72483	93332.44734	192181.3301	30034.02173	467865.7446	167013.5149	49670.36332	188755.484	123133.8928
1749	43545.39494	1047812.756	357202.8482	216838.0147	166624.3821	9511.530958	92523.54136	20486.42331	68489.24982	83409.43535	251535.9755	253386.26	223746.6939	490173.8153	31615.8805	117390.5919	61066.5253	200727.1747
1750	194220.4675	528868.163	358831.7034	235621.5865	346673.8911	66465.90487	454958.2828	5019457.599	8609239.909	5195853.979	2003551.163	4715329.106	7459667.984	653441.3135	730767.0387	4483653.216	668325.9086	1974127.715
1751	12055.88477	1421410.02	370088.0395	15747.15855	175610.2383	26154.46551	475155.7702	47914.35264	3113699.114	2314942.406	1557409.357	224009.2263	782332.4643	250318.5018	107798.901	5054248.802	233158.5521	671333.4176
1752	6867.34814	333432.7972	25630.21613	1112280.882	273924.5495	2245.930102	6679.378311	6156.713862	1321.74819	1992.307745	14853.21205	50667.3771	0	368980.0001	207552.4933	2997.350637	103036.1749	267521.0806
1753	900114.2235	796112.0067	1235221.876	647134.2619	404343.9747	659949.0944	564185.6608	836174.073	314036.7012	497530.4778	375645.468	189182.5041	396907.0061	72922.70699	228964.7603	755498.6425	297754.6816	286660.706
1754	36304.85455	283895.0667	137223.0626	68044.64142	232608.2494	40069.85383	225371.7426	720046.4468	2094279.385	2242805.62	1567143.726	1414581.349	2683926.583	276708.5738	310479.0515	1264485.61	309233.6295	402616.6283
1755	11939.15487	1390052.421	178780.7055	10500.35792	168559.692	33109.04914	358983.8155	50788.20799	3082246.533	2237022.108	1495681.636	204510.9841	754167.3883	215049.4945	56477.6742	4899356.996	207236.2942	651285.7956
1756	859350.7868	903855.7278	2263636.385	1013667.082	674155.2574	750239.7352	902642.2871	1008358.05	813534.9856	598949.107	517235.8751	456922.9584	547561.9974	188913.5702	374404.379	90101.43633	474412.2726	302937.925
1757	11106.57707	1380904.195	422372.4777	5921.900162	152737.5168	15928.48247	449360.7262	64793.85202	3773888.81	3212511.963	1562157.751	198482.3866	766205.5456	160835.6909	81094.73979	6205899.486	193073.3634	714715.7277
1758	13043.77052	335496.4117	95184.41128	215217.9905	51696.77831	0	15452.61474	5626.654295	24989.10697	22749.93567	99023.27123	146581.9937	101311.154	274272.5223	3611.130094	14045.55563	58515.12768	14380.27012
1759	13955.94732	0	4324.149027	0	13844.25573	0	1227.028001	9180.481829	1578506.799	525212.2649	958160.1238	1477727.18	265412.734	3483962.197	1672042.332	26100000	377931.4672	336042.5154
1760	4051.168075	110848.8796	17450.96726	1110757.675	529578.6711	4009.035253	5521.339289	24695.5092	73314.48003	12632.6002	203740.2818	241514.0471	19469.34197	399595.7845	285151.0777	9748.920747	216431.863	143242.5138
1761	444171.9759	202188.5436	415055.3671	205334.3238	347524.7519	209561.457	296668.5718	1231700.798	806703.2334	590716.1464	854606.5193	574431.2125	1161603.088	237859.0393	373509.2663	1165381.832	248244.2037	277866.521
1762	779993.3486	727846.5905	1828904.557	859042.9598	594400.0362	697684.5084	678483.4745	797886.8718	596850.1346	470489.3204	455845.7593	444610.847	422221.9904	99846.84865	330554.3953	243456.2674	432512.2176	224945.934
1763	200483.6195	2530140.897	160898.2541	2675196.751	1631772.483	51201.85064	13906.59923	441857.0541	236585.057	1822026.584	1458823.634	1153259.209	3135167.625	310877.0079	121649.4849	1942202.093	110758.6865	72573.66938
1764	166594.5155	91320.58239	179624.49	96440.78806	99074.60607	142952.5298	59295.23868	261120.6671	1040878.121	261687.5107	1460774.611	353315.0735	627780.1577	455818.0537	158912.8759	204016.6424	61985.1946	195233.3622
1765	4066.414787	308140.1634	44845.00272	13844.14158	147658.7488	5592.067662	123139.3628	196729.4907	964209.5796	909243.7434	997515.1001	1026294.732	1506993.102	154859.4253	452501.511	1088601.027	230920.4969	415935.5595
1766	662179.6382	361381.0131	975562.9859	473768.6785	395401.1291	676568.9765	476519.3474	1108687.413	515138.7683	596807.6936	479285.374	365778.0064	631571.8211	188569.7221	336392.9004	472164.1726	156636.4394	536892.1165
1767	2562688.016	511097.5999	3233543.601	1516371.47	2034516.912	3081812.906	2963267.303	6521074.046	741894.2616	414312.8654	202731.5088	317557.8458	395656.8033	204129.102	488604.7322	960950.9099	192973.9559	485450.422
1768	1071281.322	640393.843	1361090.802	412790.7938	343118.0402	309698.2589	523390.1588	4274806.164	783971.5229	740030.5713	464140.7288	68591.52064	654409.9211	104633.1734	482601.1536	1351230.727	232328.6537	504470.7959
1769	829329.7761	292736.5894	1445057.583	553380.5157	342634.8069	381101.4833	218812.7232	854463.0338	358978.0763	1192868.311	283392.0219	402291.5251	1027480.129	105629.2526	1070812.916	1004835.515	370572.3939	898393.1573
1770	0	394526.912	0	0	65202.09642	0	68418.87297	156866.0617	17267.51205	0	49234.78106	107865.5307	28437.09	23701.71047	0	425903.2504	4956.759605	185216.5361
1771	7801.445329	300564.0827	7422.022625	0	92232.70861	0	74938.96804	165623.7636	13058.41734	25791.45298	72517.94373	118062.6377	26387.45042	22689.33323	3606.242991	340093.1286	6768.285135	176739.2027
1772	552538.5524	277977.2133	421933.0501	320037.253	381307.4186	318713.2627	296804.3893	426874.7518	295808.5664	611584.9019	512498.0394	548466.5027	654702.2678	47295.58864	323773.1269	829778.189	324486.6896	365159.0175
1773	391745.7864	430462.2742	892610.3726	1040251.034	582690.6088	326393.2496	411026.2727	658399.7737	427170.8205	564813.5188	520371.1713	431447.9569	597413.1344	493866.6145	535314.8274	507896.0327	385929.2311	503249.0889
1774	703924.4681	750918.2892	141398.2021	1061092.625	372326.0137	1323861.702	81833.53168	225542.1577	717455.3252	3007853.115	136209.5709	298007.6706	3293932.358	1064119.382	107809.0566	188968.2648	182864.5082	1327834.246
1775	1121501.695	1033671.855	509135.7489	2528675.089	996964.6201	528636.9316	643354.3702	90928.86846	452346.8662	418697.5087	330465.7857	414848.6552	356724.3578	435775.1227	269945.1455	323307.041	138917.6315	362578.5992
1776	473050.4067	393684.5602	407834.4319	356914.0211	349336.866	463913.0316	493485.7022	728510.4328	296607.8417	417225.2857	335015.7946	284966.4094	656850.4313	291739.0724	237371.8182	536667.5525	249021.6293	470350.4957
1777	485185.2646	456301.1644	1042184.595	659673.9116	264355.2752	437425.7677	475601.2474	241100.3966	164064.2746	263797.7509	204048.2872	235156.4228	198536.8552	70037.2306	198848.1414	215146.6657	153259.4727	164299.2711
1778	470022.5844	543400.3048	810717.1878	304044.3653	264868.3569	132745.4407	63875.02681	147045.0237	506859.9885	863833.6124	670395.0001	474147.3911	62386.37749	48344.12998	173563.6822	265543.9957	86868.2147	134312.2632
1779	1348862.72	495999.7641	369503.9835	2617022.448	294074.6253	1149800.352	393429.0598	597935.2653	291947.5222	441005.7906	327747.9522	170554.0824	155243.0884	173762.4012	222622.5468	373844.8854	333212.8774	345199.0471
1780	2942362.049	4444192.887	887982.0153	1.56e+08	4948131.093	2073343.214	2004676.019	510726.2531	646084.9892	942139.9318	544875.2307	505140.2596	610895.1181	591507.7752	265795.1696	480413.8384	283370.6867	310536.9251
1781	819302.1702	838707.9935	1661712.189	1063896.865	383895.9919	590945.7011	693478.0371	436405.2971	435781.7912	604757.9781	345755.3178	417902.2319	452733.2261	146179.291	677866.3651	737528.0342	443947.9988	673845.8614
1782	628493.8757	1321613.871	1795035.493	1687253.196	1026990.656	526317.2538	235391.1967	141752.614	1199583.911	1521210.336	630486.4342	582653.3877	486134.4859	325876.4334	282310.2881	745419.2733	106566.6039	529861.1626
