row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
805	22300000	38200000	79600000	33700000	25400000	23600000	29300000	30300000	1.77e+08	20500000	61200000	67200000	4.9e+07	6042274.924	21800000	17400000	61400000	33700000	12400000	7541647.45	16600000	5049889.807	48600000	50900000	49900000	18100000	19700000	20300000	15900000	22300000	26800000	11900000	15300000	5.3e+07	50800000	77600000	47300000
806	4338.582655	878772.2041	3077174.781	244332.4479	828717.6878	162537.1489	934288.0508	450005.1383	2025.349473	4748.487296	772.190487	2175.367931	2826.473158	526763.4382	7525.129547	11132.72765	0	41210.22184	1411037.578	1307069.299	7767.018464	102169.9657	4883.356116	25195.34188	132395.1427	67018.25568	48476.90747	134952.2426	2068534.184	2371415.176	169942.279	253118.4285	374902.0918	2359142.31	172805.3696	2936053.056	3492196.402
807	7542034.481	4956838.038	5003228.465	4342133.291	4459793.746	3510793.686	5117280.344	4062754.455	10800000	9478780.722	9518925.24	14100000	8985514.954	5644610.989	1.6e+07	10400000	4589426.493	9507369.765	5573035.217	4877345.682	7750179.583	6472714.847	6543499.004	6358135.842	6097375.91	4936645.914	4220323.97	6428285.22	2130502.325	5806017.001	11200000	4842050.1	5971486.592	5935427.972	8539512.936	6559357.662	3682607.196
808	3226532.094	1169893.717	1508118.727	1016556.005	1035860.742	1030564.488	2147621.05	1137506.04	5833094.818	3808933.231	9947089.363	6423018.395	1922411.324	1662615.737	9252948.391	4167829.948	5755719.032	3891903.715	1614521.086	2555350.125	2557624.206	2063772.287	6854912.999	2437492.298	1105993.822	1292311.07	1286650.363	1781504.292	314287.0602	1709519.237	4743363.536	1572861.333	1743049.887	1687195.393	4250892.943	1978635.135	314876.8517
809	1660811.428	592405.4039	407902.1658	1247410.142	528345.713	334249.6382	353521.4899	507702.0862	2194131.58	1963144.349	8664979.983	4509506.258	1617557.675	634750.4567	6257439.305	1224180.545	6459142.05	2039529.884	956230.2454	1500937.893	1253312.931	645875.9885	6290047.759	928975.8084	448936.6323	828365.079	345931.5509	706052.2892	193450.3723	2041354.586	4166040.187	538988.4637	1798545.535	440033.9892	1090557.859	1350846.861	313845.676
810	35546.3724	439031.9963	418560.8069	78127.44179	334500.8908	147815.168	147276.3468	5029.794423	10067.3091	8495.401408	34777.5393	116518.1628	19066.55752	109940.9993	13716.82972	39937.37572	10101.82992	188341.4089	103902.2745	145691.4496	6109.345336	287230.1714	44211.12156	892696.1361	485910.5743	1147900.931	603693.1774	508412.2653	675678.4384	368949.7247	1774853.438	206212.869	70901.01871	278823.7236	203466.7214	449927.5179	319689.0601
811	133210.7264	196328.1511	154644.5502	12503.59793	1035614.489	192808.3015	292616.6645	90684.7089	0	207881.5312	0	744047.6282	1429062.832	2776088.064	0	0	0	4278661.908	652951.2121	2488240.93	613703.4861	368890.3458	222951.1338	4647531.563	2783444.977	3447947.077	1584006.125	5345132.553	1103302.365	1107270.477	7169645.326	880056.3434	4106291.748	37946.34807	18198.36611	231908.0827	90513.70922
812	1153934.821	359763.7324	209727.3902	25888.11778	1012016.526	79479.48101	671903.0823	42988.5529	1357110.526	205078.5837	274369.2691	1527014.523	2141513.971	3584482.734	131766.4774	75165.05478	3345.198199	27600000	1161167.067	1925310.385	1597727.229	1127195.16	625727.7527	15300000	8566034.202	3419721.986	1576502.753	4756240.298	1063176.763	299779.6432	11700000	749919.5753	3490473.829	211655.9815	1571441.147	96637.27454	59812.77165
813	2741.770768	614053.2593	356548.4057	453066.3922	485197.1815	413058.2665	107173.9699	394180.7339	520778.2759	819901.222	698721.309	751382.8388	1800134.693	34507.90344	690047.0144	375951.2	1805035.252	652599.9656	8399.102959	331227.2753	3374.335497	819211.4525	1194794.171	1334957.01	471773.9713	531997.754	656043.2898	433978.4618	287613.296	522227.779	832443.2163	721343.0276	118096.9698	824911.9298	726582.4406	609520.0317	597631.3516
814	9757389.604	6148731.541	3223521.341	3211193.425	2585947.443	2501044.749	5834334.069	3181693.265	20400000	12400000	37400000	26100000	11100000	3911678.529	32400000	11100000	23400000	12900000	5124911.896	7128221.041	6852264.245	4067168.614	2.2e+07	6535651.099	4131282.618	3972880.244	2773651.107	6358585.058	1052338.823	5621846.27	15100000	3216869.04	7456266.146	3966578.256	10700000	6697526.718	1171159.048
