row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area
98	4757723.442	7310621.218	1580889.957	1286619.881	2765179.368	5189752.395	2076777.421	3054620.873	2381159.661	3997423.665	1629732.608	175462.7664	801558.8206	1237902.943	406106.2244	495222.0228
99	735653.784	751437.0007	981380.0046	2230519.178	628307.5991	1367495.383	2729358.163	1738267.196	6293120.928	3865317.431	936530.0568	917112.2907	1121072.189	5751915.554	2072800.597	1215522.817
100	1921325.233	1917300.429	2021188.084	2220393.347	2032182.982	2105009.716	2424518.899	2288440.394	2129193.405	2290812.257	2356348.216	2326738.904	2173534.423	2317514.949	2045791.639	2450619.945
101	362363.6827	400269.5395	104735.4645	47021.20113	353381.5791	154064.9161	344180.2723	788760.762	185630.3475	557901.5747	321917.6165	127088.1426	263130.2033	113897.0628	138661.4834	252912.5958
102	907189.6918	1033583.399	576427.1935	398179.7178	915463.3821	436020.0105	356412.3741	563552.5696	599418.692	887670.9361	526356.331	978892.634	957071.8722	1304768.889	649849.9537	424455.253
103	11800000	12500000	5312030.821	2674723.175	9310656.347	3928783.273	4973170.583	9453030.001	6143691.737	5178692.714	13200000	20100000	10700000	4412081.518	19200000	11100000
104	13252.6731	3487613.803	1603303.66	2675062.705	2971708.061	3322222.814	1192666.592	1078145.884	1839803.268	3121699.34	182167.4983	3580589.83	472182.5183	4276670.651	274979.0991	45300.33732
105	146023.9529	308793.59	182622.3084	474453.3111	1313425.334	683055.9719	414959.5272	775179.2909	976340.0129	747069.0947	591917.0632	297641.1475	133276.1653	1545032.374	178961.9852	187765.1661
106	1222354.405	1207529.218	2795952.424	4358917.835	2000160.111	4634398.88	6789350.722	2326212.575	3713261.294	1005695.327	1414892.132	23500000	3035524.776	8038998.633	2303421.611	990145.4277
107	3376453.191	2956928.109	1770733.42	860117.6374	3016037.214	1163465.107	723525.4604	1406267.974	2185896.423	1255436.007	1648812.807	873463.8423	2290276.472	670319.7499	847099.6196	1282551.137
108	1694281.296	1622149.213	347631.9578	315323.1464	1405625.676	332188.6817	320989.184	527910.462	731489.6088	544558.7162	468458.2603	4797304.885	2260514.06	1335864.912	1251553.29	965828.9364
109	15200000	1.9e+07	1728151.658	553319.6288	9227367.686	4057783.715	1711012.628	3378342.874	1916585.389	1517373.37	5815855.626	1.1e+07	8991051.236	4991706.799	2314741.586	3664261.993
110	4814505.227	3642528.675	552493.9452	758998.5355	1146464.251	1202486.309	173596.7895	456773.1344	398290.7183	316313.6906	226022.0882	17895.6419	41466.96364	300746.7721	251667.8564	243438.0178
111	3556402.305	3905135.696	3621701.126	3503429.157	3553683.595	3669065.004	3413682.084	3350545.765	3572907.511	3713637.171	3494462.816	3457332.666	3263766.496	3581284.338	3346507.492	3312239.975
112	686746.3776	822511.3916	999883.1901	1283934.585	1247796.067	809499.0359	824242.2291	1013392.214	446793.6975	750800.7873	712466.8375	1335860.708	394475.0755	460258.7191	455379.5172	936384.1544
113	86400000	88700000	1.02e+08	97700000	98200000	1.09e+08	96600000	94300000	88700000	8.3e+07	85100000	84800000	85400000	82700000	83200000	81400000
114	621602.1208	608164.054	442535.7972	519317.1481	621475.3342	447036.1959	459771.7503	517973.1588	551219.2365	598165.8718	488183.1076	564321.6499	500204.836	493679.0433	460112.5457	457420.9934
115	7998383.941	6385947.361	1337180.236	974278.5699	3606971.558	2029246.658	1686155.376	3154028.519	1845802.904	4769126.762	5362964.261	5378767.527	7231873.667	3302017.286	9045204.278	5628550.098
116	970192.669	984206.8037	1100465.826	1014714.201	994761.1508	994081.9513	984415.243	916637.9905	1013058.02	894586.4122	1003750.058	895377.6457	1030848.613	905796.5357	1015050.053	1051989.531
117	4595267.464	6701584.864	769655.7497	521111.3622	3887638.21	1598281.897	1378560.929	2531770.894	1087057.854	1750242.437	1183833.079	2703065.523	3480186.276	2071372.735	1105201.076	1008312.677
118	7358742.152	8074719.969	1298636.276	1095943.568	7901560.907	1426709.791	1020768.542	2816077.941	1795520.697	4038475.513	2078647.483	3678714.336	2722247.196	4519161.877	3236383.947	2677811.481
119	298157.5429	242636.4967	159704.7197	123064.3127	201499.6419	105796.8496	160169.3	249978.9466	277834.5989	206928.9181	255349.2079	248728.4721	379031.0242	127690.9263	225010.2338	344789.466
120	5231455.993	7224706.979	1975041.063	1920913.03	4747368.351	3822059.546	5528878.949	7356136.137	2170499.427	5249523.531	729956.3357	7344861.436	3302927.505	852676.5102	422907.8029	1970083.139
121	1288893.272	7755835.653	1044553.599	1386954.026	3346905.651	1924855.252	463711.6042	649257.6803	1008825.761	2587049.063	787474.3489	2991767.252	2226866.84	1987569.172	1177696.107	436658.1937
122	1081083.431	1661004.724	387229.5959	320530.3726	607921.5239	1137042.199	467885.934	648673.8592	494267.5493	883486.2264	384129.1838	35697.41257	138013.7709	315202.4785	49994.85835	88466.24267
123	2219194.896	2231874.841	2074118.64	2030567.34	2147138.94	2043790.61	1976656.219	2120255.59	2123787.39	2129093.214	2183573.893	2170370.327	2126341.643	2093624.995	2166975.798	2031804.907
124	133455.7871	52204.6301	111381.831	236455.3584	185815.7583	118520.4536	633035.5542	894291.2222	530366.0145	827961.9488	1066189.353	88611.76164	37051.7948	286043.8039	55618.23623	31645.49375
125	894810.9605	799848.1834	978200.3093	2584243.523	1044834.474	1279904.066	922472.5607	1080852.548	4927354.436	1387708.006	1074511.131	754794.6681	690761.7135	713463.7449	765575.3964	736783.4105
126	6274875.269	13100000	1236465.235	751194.9925	6267593.341	3053921.294	343943.3933	432542.596	229307.5175	1723295.686	222156.6168	3412131.641	13900000	1088126.609	1532047.597	236859.1838
127	17800000	13800000	4081157.792	4529252.399	13300000	6615285.026	4069445.357	9927723.804	9400787.34	1.1e+07	11600000	25600000	20800000	13900000	19900000	12600000
128	753412.6162	941929.9857	1794185.193	1122296.088	1287639.235	1713062.497	717824.1039	1132160.44	867230.8693	942430.7185	1766930.424	2845797.185	624080.8755	1411534.091	765953.7388	2006808.484
129	1329636.905	1339233.673	1373637.462	1425434.066	1320850.319	1369742.611	1290477.871	1392513.708	1380510.333	1331450.732	1392737.802	1419529.299	1428032.89	1453966.38	1348616.431	1356570.804
130	537469.1221	577330.3117	61495.51577	159262.4708	817369.4443	80489.41901	228335.0476	493878.4006	723578.6765	218721.6749	760403.0271	44262.61459	94242.13569	358350.7704	5517.257696	291214.2613
131	2607348.227	2299073.662	958055.2305	592746.3235	1820764.302	678449.6634	256915.6543	838455.7056	1164804.971	844335.9097	981858.8648	3598389.467	2791397.449	1759083.784	1781124.065	1285111.657
132	3079820.699	3014916.36	423770.1549	325339.6844	1936103.842	470987.6182	555747.0141	1376772.418	716376.6618	600560.3045	1516647.642	3075217.067	764028.4647	813096.0432	1158802.711	1852378.532
133	3948660.661	3879923.006	1832770.534	1792028.942	4432804.526	2177170.315	1254581.949	2089609.479	2221896.973	1840120.915	1923308.252	4967321.547	5445119.027	3089070.007	4543328.701	3040906.279
134	492362.7312	585364.0548	664807.177	1843445.175	435048.8822	1237575.474	2148893.571	1352825.906	5295858.835	2802709.233	530300.0221	756248.2629	849971.72	4512892.583	1580288.013	1106013.542
