row ID	113.mzML Peak area	114.mzML Peak area	115.mzML Peak area	116.mzML Peak area	117.mzML Peak area	118.mzML Peak area	119.mzML Peak area	120.mzML Peak area	121.mzML Peak area	122.mzML Peak area	123.mzML Peak area	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	29.mzML Peak area	30.mzML Peak area	31.mzML Peak area	32.mzML Peak area	33.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
46	3283300.679	6910474.377	663236.2941	414956.9104	2073864.564	2076979.901	1254094.858	1862220.017	923811.7524	1995411.328	1311477.546	853203.9182	654859.8958	1038317.009	945753.4919	442339.8702	404408.0594	1145343.175	976653.9187	780685.5968	863120.1405	662498.9418	369939.1986	955893.3065	1510737.837	784288.5125	1792441.885	504153.2373	1455204.883	1380109.888
47	3251422.471	3320330.13	2984459.189	4863016.069	3349483.823	3139275.407	3097614.661	3310827.228	5300436.377	3201464.284	3282490.318	3308348.467	3313478.743	3138201.717	3381757.139	4013353.987	5652264.731	3529792.439	3255052.083	3039532.587	3101025.38	3247276.824	3233185.623	3142200.349	3359667.703	3425802.181	3034818.559	3263070.852	3345909.624	3110864.741
48	143620.7038	108667.0876	767428.8615	1048205.928	1654972.304	1232771.33	801176.7753	1328625.403	1779138.732	1074485.62	996888.0418	79369.13706	2022023.048	1139208.397	1344931.425	1317062.777	2063929.924	143217.464	835956.5154	167799.7653	2791457.668	135173.2669	87770.63683	134609.2327	390556.035	56074.08855	96227.84395	20425.9038	250517.6161	77136.76094
49	9465090.088	16100000	2293550.949	2529710.65	26300000	2325512.365	817784.8289	3738539.581	4285013.127	21600000	1314659.815	64364.21598	1814617.097	524738.4678	180412.0714	1029523.019	7342134.744	228467.7179	13400000	7806601.583	1.8e+07	9684056.344	3128473.252	3823652.691	4490535.45	4029109.243	7937320.118	1227898.489	320141.3233	146273.8503
50	3331295.249	4838406.733	452327.9292	800495.4698	6182104.144	1464153.669	990782.9398	2058225.561	1029812.396	1282190.161	1555815.39	521966.2975	1283487.512	731962.1161	717428.9178	287613.735	1511128.748	770921.3326	1420373.114	1105493.15	3826481.957	726302.0121	2002452.725	591730.876	409851.0633	282662.9898	295143.3787	437963.9942	2237806.137	1106658.682
51	8016.36597	0	58268.4536	1066095.19	1299361.194	316685.1272	414824.1361	1220624.309	1184136.748	491036.2028	150759.9183	3311.738276	2355336.681	1689175.193	1010616.006	493086.6216	2635069.285	237199.6905	75506.12989	1203.992373	557347.5441	0	2293.434768	0	3590.872021	1092.650138	3181.44885	0	5516.076034	0
52	0	20815.75669	113616.3135	1421928.904	3449445.795	806218.5386	898963.7039	1235181.296	1623744.578	1462535.931	775637.588	3595.495689	5577680.516	2243434.915	1317935.574	1005044.65	4433735.652	362145.5868	780997.6949	4397.604571	2828018.092	2161.974233	5547.85932	887.6257753	2222.006288	684.1341	819.2876581	937.3663123	14576.10298	680.4951811
53	4995243.338	8083037.445	2431515.375	2367585.019	11400000	2181622.126	656312.281	3171130.26	3485037.446	1e+07	1236882.456	114820.7271	3158831.048	862695.7957	467595.3837	748327.659	6719514.557	329459.4252	8938482.467	5234350.861	8583495.403	5228608.129	2079712.074	2838292.865	3046140.942	2079483.35	4486791.267	755708.6161	479385.9509	104020.7574
54	0	11029.17567	14319.1806	1945900.789	1884285.727	1026350.194	832285.7724	1132241.327	1592193.859	650517.097	579053.4013	3003.993494	2228487.102	2209344.073	1045851.334	787874.4508	2345855.614	360188.2077	293477.534	799.8206927	1234696.046	610.4237927	2232.676181	0	2046.489363	0	0	0	29946.81037	498.2289436
55	43876.4343	43345.2286	19146.98256	3209327.925	8795833.068	1663701.855	1017777.506	1936284.829	2738896.91	1370694.113	643403.1246	5374.456302	9170314.568	6238569.998	1063419.47	791385.6503	7931978.422	332043.3593	507402.6171	24026.28157	3536149.111	14177.49391	15684.97904	16874.49113	11741.01203	4408.918385	12145.79166	2152.665562	58264.36517	23463.11051
56	1116900.048	1167526.613	1310766.263	1298862.317	1374656.742	1287676.851	1012497.658	941678.5285	1321621.249	943720.4977	961705.9624	1472458.3	1006869.292	1366088.272	971133.747	1140717.121	846397.4532	1026847.537	1237218.397	1030670.906	1010051.624	976493.0405	1191931.027	1008509.504	1601592.975	1098885.347	1162456.812	1051300.133	1418841.47	1309630.872
57	2556294.861	1979769.382	126815.901	208198.4952	4837392.243	1046626.979	541395.6145	1755205.306	1319426.705	2191445.791	512842.1274	504345.2566	2903181.995	1898931.439	680026.4215	475839.5528	1136825.626	590148.5512	1257602.372	1197627.206	6293635.459	786221.2077	675580.7383	571785.8447	1078050.975	1963086.53	2237853.16	732327.9904	1607653.389	1745878.614
58	1942210.765	1681664.011	1705929.55	1576976.862	1871094.914	1530095.182	1815981.412	2119832.818	1794889.692	1279561.325	1564607.703	2878408.058	1842788.016	3662683.461	1779839.535	1695621.925	1229324.203	1697692.969	3600420.917	3351490.252	1984725.825	2396129.507	2408724.196	3293588.922	1531965.837	1381245.128	1442544.623	1531586.208	1679864.062	1629200.809
59	1677773.069	1600615.875	1483674.49	1689069.432	1853414.529	1863129.519	2300492.093	4368277.015	1313293.514	1425196.303	1420229.477	1985764.693	1757979.455	1697113.953	1638679.443	1434890.793	1317538.088	1572806.339	779881.7079	254981.1878	799729.9295	741685.152	739072.2363	775685.6233	640597.0751	749017.9083	674195.305	604208.528	387029.6835	660753.2225
60	0	10241.88807	186162.3551	610534.1499	1298667.039	381813.8599	498429.0235	351890.7995	507990.7907	358909.2467	336728.5874	4155.69033	2372300.302	1102688.919	628454.4475	422233.3074	1229141.102	199429.2153	218819.0247	770.81368	873232.6441	863.5621267	484.4045241	0	540.9966512	891.6430783	1186.32637	1617.307678	2113.935668	0
61	1885816.976	4777747.152	1283756.1	1588102.237	7345778.037	1233191.569	296543.8059	1521284.329	1657205.612	5140667.25	591517.3135	166024.9145	514946.534	337365.0065	256831.3518	358113.3034	4772309.321	176296.4246	6189989.351	4350130.624	4649141.936	4531083.14	895511.4402	2286693.861	1645916.501	1345940.893	3610634.747	457593.3176	734459.8093	204210.7357
62	7129290.759	7265093.571	7352760.46	7542720.64	7207241.735	7148938.119	6997585.945	7195542.35	9392452.316	7152101.638	7116037.058	7730608.593	7543751.966	7629919.91	7197277.082	7734716.011	9023353.566	7654241.553	7423369.795	7391484.76	7140635.754	7381905.249	7436975.773	7589014.062	7404884.12	8126043.353	7413163.641	8299454.125	7602902.609	8642764.167
