row ID	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
660	187954.1164	635150.149	18885.61678	178692.4335	872159.9444	22439.41083	319145.6907	5650.400963	7772.076058	21586.2629	19488.61206	13937.74343	14139.50205	5227.568896	9754.328315	56576.57867	27270.35369	812893.8922	477541.4511
661	1093642.897	882709.0246	137668.5363	713681.7655	607110.3156	736409.8493	667501.2561	265142.5476	5393208.772	377409.9984	423547.7323	377907.2079	1382995.071	493783.2218	294482.8456	557506.1805	627946.8614	685455.6808	384230.5735
662	844785.2646	1544634.658	332068.0395	587934.5074	550174.7982	406828.4175	591482.1208	158754.4738	1051384.847	274707.5253	336806.4666	239692.5085	696078.0878	351481.1244	128425.6439	920350.0815	595292.6414	1307168.112	436058.5825
663	1100668.734	468685.4034	985017.0354	610283.2011	623666.3735	863477.6319	802339.523	388011.4112	339722.7656	796794.223	680491.2433	266835.0558	320770.4833	450568.1325	672149.8923	1076223.785	1080593.347	1252776.328	800620.256
664	1568520.175	73406.19761	70790.9714	139292.2382	911197.1368	106189.5427	174341.8527	6762.640432	35131.52182	67400.67456	72364.53347	65297.21541	12067.84549	8833.023143	4962.023608	517134.3059	22998.86567	82516.02868	138959.9479
665	1174722.806	1104329.235	1639404.192	886201.6601	505064.5567	1246329.022	966241.1963	7911992.331	2604809.692	11100000	8489496.502	2799747.857	11700000	2437041.385	9173953.699	821967.048	1769995.925	1786469.483	870113.2803
666	1547456.52	1329152.078	133068.7554	869538.6513	467762.6304	405017.234	810324.7118	273704.5722	268526.1146	362027.3384	526569.128	423569.799	206939.6346	344853.4679	185832.4008	784759.675	660921.9884	3166676.993	1417668.506
667	3802023.121	4208974.61	469286.9552	935594.1499	1364341.691	215522.564	883245.5174	118368.8837	321242.2509	51980.24786	52062.2807	241453.7231	185536.4945	40339.14579	37894.24056	2299242.083	263640.9619	2776317.394	3133138.392
668	253199.5421	1032642.83	2960.790897	67853.85953	680767.5123	0	9662.48944	0	0	800.0524277	931.1726263	0	0	0	0	3091230.352	10103.85565	179743.6647	1557113.672
669	65711.06296	376643.5375	61738.23794	361410.0889	478543.2776	36553.90702	277703.2002	9830.884269	21690.72203	109589.6227	108101.3652	76119.99716	10200.47443	11952.88327	14085.22419	84859.06149	11714.42266	896860.6324	137854.5705
670	3781032.828	1147406.882	2931239.871	1971842.608	886397.7982	3317151.848	931269.5848	12400000	4781765.498	10100000	6334871.42	4927096.016	1.2e+07	5682093.762	7787672.783	2682858.114	5288972.643	2930182.469	1839473.728
671	981314.9675	313810.3502	584051.3812	539895.9349	300264.1766	411112.5986	322275.2023	1216625.445	904264.3888	2201190.314	2268384.975	2121092.19	2721075.902	772908.2863	6904257.311	528910.9888	1118361.364	318718.392	612494.2368
672	768183.0454	907939.801	145782.6991	149895.8475	384023.2576	2089.290778	214292.2898	13866.86286	4249.873908	0	0	2377.843629	12589.40568	1183.579646	2064.80832	886776.8329	152925.7833	604187.6464	872606.9486
673	1667094.107	3241137.139	436521.8953	874537.7275	1424465.389	3517634.937	1952021.858	2426578.939	5756864.821	1875676.386	5989540.793	4040009.755	5794768.245	1544996.619	4898523.892	1319485.522	4065886.082	3249131.903	672201.4632
674	3025003.516	1891695.558	814142.6403	3002063.72	1339852.652	2037865.198	2002410.194	9163299.406	1855388.588	5444982.483	2784761.692	6890070.547	5027872.925	1638672.027	4200312.039	2037640.467	1230405.419	1558719.279	1360613.734
675	1339485.474	758915.3209	199440.4355	1168971.736	523583.3473	615559.3413	648572.2586	3142910.328	424149.9507	1889732.568	617286.2948	2699353.271	1453839.798	294811.0366	945175.5614	653537.8975	337968.3936	565337.6878	532073.3675
676	103674.8089	300511.9197	209461.4917	1064924.14	750956.586	210458.6804	343595.3563	47782.89628	356523.8364	987197.1826	857937.7969	505378.4772	45386.91233	30326.13124	66202.96897	83256.55567	48968.83474	711643.5426	153050.9821
677	2148104.716	4965235.812	474995.9418	1501884.918	1249548.263	1062981.576	1375648.938	29677.79831	728215.1193	452978.3847	475935.9407	546391.5861	1766559.333	680415.5826	336019.6244	1879579.992	672885.3631	2281368.874	1533284.656
678	942026.021	638679.3654	230535.549	591263.9455	323012.2306	495590.6304	407102.9747	2383928.919	476724.3502	1746740.275	894162.1097	1136953.892	1031596.409	367179.779	1192768.418	500669.7931	393971.7007	624824.034	359130.8873
679	46548.98022	1177375.067	28097.12471	1174684.656	3558019.602	54107.2224	451775.8621	1260.77934	542.3563868	2718.556074	1358.210752	2202.749229	1274.870728	987.3706737	548.9011314	344857.3009	3573.476656	3137511.19	1111768.377
680	720309.6523	420559.5412	516443.286	444152.5077	684618.2522	1726005.35	419546.6155	153316.6666	108774.9515	218293.8389	237412.6347	50259.13331	152172.2612	161533.204	301362.6309	565891.3321	2136822.161	715653.7138	385102.4022
681	3470796.684	4119766.642	446715.041	1850662.478	654491.7293	437925.933	754590.4285	2424180.146	853269.8753	1801891.543	2424305.637	1832369.068	870466.024	817263.9698	783223.5482	3593697.554	1191664.535	1040792.251	5244910.768
682	604860.1114	897478.9152	25393.23466	214396.9766	360777.6852	11143.9756	64382.359	185815.7269	0	188234.609	215817.1897	65659.62741	0	0	0	1717146.369	217943.9049	398700.9139	1668090.437
683	498852.9132	1130197.013	74465.8837	765973.3286	1082997.969	150280.181	342252.9927	7699.057351	2914.722934	20941.53083	9584.009925	2365.254276	2650.403991	3903.776644	1464.465703	2198748.834	6902.816308	453655.9081	2730743.588
684	308311.8293	1960431.108	262663.1793	1693472.76	5568883.286	548943.0639	1355799.041	5304.432992	1898.829419	65029.864	7606.082795	21784.98078	4529.278845	1903.135261	2693.442934	1137653.4	32206.33423	2762018.737	1109081.831
685	385166.7668	1150799.818	96528.41986	1347495.654	1271104.124	299904.4993	406593.2244	369142.9926	736148.3222	8947275.211	7817646.277	2167422.449	13388.34259	5483.349484	32814.95171	357474.4096	487504.7718	798083.0663	320533.0852
686	1411247.426	2415380.632	276286.6245	1016495.78	802534.2716	355142.7988	450513.2973	1648985.009	876663.3424	984002.5225	2519231.427	3737871.962	788224.6553	131515.732	617879.5147	852587.0707	223449.7151	3570727.424	1747558.059
687	897575.7722	544761.5606	343090.9495	612777.033	332289.1894	731430.9455	477734.6971	1862647.688	398509.9291	1724898.346	1100519.971	979748.3871	778351.9036	635692.862	1453128.13	583024.9232	961719.5218	847189.3025	476088.6073
688	11914.52064	92729.37186	3825.230613	62049.42936	402625.6331	28198.51001	68537.58558	0	1227.555183	8222.627661	2851.829553	730.8270547	0	2404.246842	0	125937.5404	1856.895743	143986.3167	75227.80222
689	569895.0189	638265.1821	148337.2058	354144.1148	452620.1965	1291368.285	461192.1123	1224991.088	464364.4097	570716.726	301338.323	1364066.987	611854.5488	555770.3611	685244.7301	392215.5397	921901.7679	527003.7964	384237.0362
690	1190063.6	639526.4483	55715.11461	168558.4422	526503.7102	6529.949514	313122.1679	23627.71645	6649.594789	50877.87912	22086.90961	20042.8842	11759.64104	23381.16026	8098.46169	1035746.019	161482.5062	580877.0362	824017.9334
691	102055.1873	1952661.475	163711.4013	1032990.242	1353629.685	97707.08934	1012328.567	7918.916122	6850.315249	31164.35053	62801.87109	72873.28504	10479.11393	10188.14137	6495.929581	383082.1463	61680.29553	3226570.473	976063.7356
692	302252.4576	395910.2181	94287.0258	301958.7791	489225.0882	192237.4004	320729.9571	108328.8853	101573.694	124580.2709	74020.70325	266953.5251	194090.5112	188520.6186	64614.64604	645460.6996	257997.6159	156405.2133	380641.6041
693	1947846.586	3914804.565	630975.8971	1089625.478	487718.3074	172533.9557	1337917.014	359664.8127	51301.2876	296997.6007	195213.5522	505760.2603	131437.5917	146186.1414	63681.52934	2300629.325	331565.4058	2009367.276	1795901.881
694	1583041.472	996378.3187	71091.06438	243667.6521	774135.2353	37308.16868	486631.2538	62872.40986	29139.49196	102243.4312	182550.1456	122710.8657	49098.66733	54908.78435	121890.2257	1497171.171	247579.4391	857422.5919	1124927.721
695	1663610.362	967738.7026	40625.93445	207564.1645	568314.3574	13454.57146	494264.9704	134414.8615	8384.621972	281491.7186	134330.8643	102941.5752	161565.3535	165145.3769	152725.0094	1120860.42	232954.4818	814349.7328	912542.1904
696	32300000	88300000	7671040.563	52700000	29900000	87100000	53700000	1.4e+08	1.49e+08	2.26e+08	2.04e+08	1.17e+08	2.05e+08	35900000	1.37e+08	68700000	1.13e+08	85300000	15300000
697	85107.06237	149706.8309	38453.61788	380337.9459	429290.8201	20999.36493	253748.8743	271183.3278	18300.54513	1347129.249	396839.4119	155938.0686	2826.087317	3201.540676	1297.30413	296813.5998	253012.3998	577888.071	238212.6428
698	528209.0859	1338521.417	5055.60544	215929.3915	612208.1405	2357.821485	165363.9314	14661.23553	574.5603313	1758.704902	3419.927518	896.0437062	0	0	0	1973040.132	40630.68628	253504.2263	1605626.817
699	128829.8425	584279.7105	0	135983.3132	469979.1019	0	138185.4488	0	932.7686857	0	0	0	0	0	0	1375227.416	0	361350.7573	1035344.114
700	674620.7817	1371782.18	307439.1803	495173.3595	486306.6828	467685.7853	465144.8166	703175.0916	435077.725	800831.1957	1010548.907	1401199.689	1039169.875	400147.5521	568567.5754	592756.6626	419653.8249	924081.2067	827366.2789
701	708163.1782	480042.1679	181748.4869	264896.3447	379593.6043	660137.6214	388536.7151	714597.3836	219099.8523	718927.1076	618129.2423	352838.8386	444779.0399	285368.6744	437397.0348	386652.1878	1438725.425	424028.8458	356049.2383
702	164232.3468	661960.299	0	136390.4464	363660.5128	0	128863.9391	36495.63852	2102.338901	5810.388837	0	4674.190369	0	0	0	485403.1861	0	342652.2771	697810.6142
703	35773.77663	266789.3988	116404.3377	267329.1609	352365.2178	148220.2033	169624.9641	19201.96924	0	97422.44367	23583.31256	4851.744657	42508.17957	2775.058495	3099.146749	463315.4813	61180.35163	366352.5941	310995.2623
704	366379.0443	411628.8313	20995.24424	324640.2091	577405.4227	38745.48534	191096.5998	7396.711709	137957.0148	108408.6597	191754.9921	86361.78858	12329.57344	8174.884449	12204.7429	72351.09151	18960.87756	561020.9265	215954.4181
705	12313.08314	167462.6687	3862.724001	110655.6139	680046.0704	31967.14225	72204.66462	0	0	1069.151917	0	0	0	0	0	108764.2041	814.0450905	516926.1007	104734.0804
706	579576.8126	1069730.87	509430.5644	416919.6951	569687.5234	536239.0905	538637.7203	876468.7696	460961.6208	941972.4532	808285.0421	710579.972	424282.1409	380639.4405	826266.4445	700333.8551	793558.3092	1194530.999	477361.647
707	1795005.256	1044954.658	380242.3818	434734.1244	514283.5642	464084.7129	538602.546	784293.1462	1534078.297	4107207.968	1283711.901	873986.0682	755836.294	240721.2636	751003.7628	885703.6172	876620.4849	1506236.23	747507.9834
708	64682.70579	759858.9362	47010.38342	356605.817	617100.5753	43852.17762	359125.0903	4348.908313	0	12725.65685	2528.177437	12374.2381	0	1242.067662	1394.390958	249323.9927	4346.262587	1109490.351	354515.7412
709	170186.8942	662408.1936	5083.088185	329728.469	937447.4996	0	140107.4463	0	0	0	0	0	0	0	2606.447508	1977893.56	45552.83051	414924.9546	1528201.286
710	182426.973	1322382.284	112277.7319	729859.6282	2650581.921	137144.1858	996788.7273	0	666.8070593	58718.94866	12024.36841	10897.58763	0	539.0005555	0	482357.8992	29345.23281	2658246.723	1187631.222
711	115449.6895	160031.5939	33940.98799	260895.1124	366137.2135	21585.06542	206959.2802	79247.82835	5082.826732	835716.7162	349883.4436	87230.44231	0	0	0	617725.7857	119377.4349	612908.4215	265729.1273
712	36694.0399	1453127.523	12221.54152	1433766.671	5341954.21	122578.6002	453917.5464	0	0	6471.536595	503.2062445	755.1661523	642.8046451	0	432.3798129	1094361.009	1887.249995	3788956.681	895933.1966
