sample_name	filename	sample_weight_MS (g)	recostitution volume (mL)	sample_id	tube_id	ATTRIBUTE_host_subject_id	sample_type	dob	dod	sex	cage_id	host_age_at_sac	ATTRIBUTE_host_age_at_sample_collection	host_age_units	collection_timestamp	ATTRIBUTE_disease_stage	ATTRIBUTE_condition	ATTRIBUTE_timepoint	mouse_strain	dam	sire
80.mzML Peak area	80.mzML	0.0106	0.212	13N.T1	13N_T1	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_12N	C57_12M
81.mzML Peak area	81.mzML	0.0434	0.868	13L.T1	13L_T1	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M
82.mzML Peak area	82.mzML	0.0315	0.63	14L.T1	14L_T1	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M
83.mzML Peak area	83.mzML	0.0655	1.31	14R.T1	14R_T1	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_11L	C57_11M
84.mzML Peak area	84.mzML	0.0397	0.794	15L.T1	15L_T1	15L	stool	20/1/2021	16/4/2021	M	STZ_15	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_4N	C57_4M
85.mzML Peak area	85.mzML	0.0647	1.294	16R.T1	16R_T1	16R	stool	22/1/2021	16/4/2021	M	STZ_16	12	7	weeks	18/3/2021	TRF	FT	ZT1	C57BL/6	C57_8N	C57_8M
86.mzML Peak area	86.mzML	0.0468	0.936	17N.T1	17N_T1	17N	stool	19/1/2021	16/4/2021	M	STZ_17	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_15N	C57_15M
87.mzML Peak area	87.mzML	0.0228	0.456	17R.T1	17R_T1	17R	stool	22/1/2021	15/4/2021	M	STZ_17	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_8N	C57_8M
88.mzML Peak area	88.mzML	0.0368	0.736	18L.T1	18L_T1	18L	stool	20/1/2021	16/4/2021	M	STZ_18	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_7L	C57_7M
89.mzML Peak area	89.mzML	0.0409	0.818	20N.T1	20N_T1	20N	stool	20/1/2021	16/4/2021	M	STZ_20	12	7	weeks	18/3/2021	TRF	FA	ZT1	C57BL/6	C57_1N	C57_1M
9.mzML Peak area	9.mzML	0.0126	0.252	9bN.T1	9bN_T1	9bN	stool	19/11/2020	27/4/2021	M	STZ_9b	22	7	weeks	13/1/2021	TRF	NA	ZT1	C57BL/6	C57_3L	C57_3M
90.mzML Peak area	90.mzML	0.1072	2.144	21L.T1	21L_T1	21L	stool	20/1/2021	16/4/2021	M	STZ_21	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_9N	C57_9M
91.mzML Peak area	91.mzML	0.0912	1.824	21R.T1	21R_T1	21R	stool	22/1/2021	16/4/2021	M	STZ_21	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_13N	C57_13M
92.mzML Peak area	92.mzML	0.0764	1.528	22L.T1	22L_T1	22L	stool	21/1/2021	16/4/2021	M	STZ_22	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_11L	C57_11M
93.mzML Peak area	93.mzML	0.0368	0.736	22N.T1	22N_T1	22N	stool	20/1/2021	15/4/2021	M	STZ_22	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_3L	C57_3M
94.mzML Peak area	94.mzML	0.101	2.02	23N.T1	23N_T1	23N	stool	20/1/2021	16/4/2021	M	STZ_23	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_3L	C57_3M
95.mzML Peak area	95.mzML	0.0628	1.256	24L.T1	24L_T1	24L	stool	21/1/2021	16/4/2021	M	STZ_24	12	7	weeks	18/3/2021	TRF	NA	ZT1	C57BL/6	C57_11L	C57_11M
96.mzML Peak area	96.mzML	0.0565	1.13	13N.T13	13N_T13	13N	stool	19/1/2021	15/4/2021	M	STZ_13	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_12N	C57_12M
97.mzML Peak area	97.mzML	0.0242	0.484	13L.T13	13L_T13	13L	stool	20/1/2021	15/4/2021	M	STZ_13	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M
98.mzML Peak area	98.mzML	0.0578	1.156	14L.T13	14L_T13	14L	stool	20/1/2021	16/4/2021	M	STZ_14	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_4N	C57_4M
99.mzML Peak area	99.mzML	0.0859	1.718	14R.T13	14R_T13	14R	stool	21/1/2021	16/4/2021	M	STZ_14	12	7	weeks	19/3/2021	TRF	FT	ZT13	C57BL/6	C57_11L	C57_11M
