Feature	Intercept_mean	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_mean	Intercept_std	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_std	Intercept_hdi	C(ATTRIBUTE_groups, Treatment('G1P'))[T.G2P]_hdi
8365	-10.484186877000003	2.0043132887550024	2.0061624904828568	2.9353080828177016	(-13.7971, -6.81371)	(-3.51055, 7.64981)
1614	-9.895083149999975	-0.07912498602999983	0.49286117932362855	0.963415933670082	(-10.7495, -8.95012)	(-1.90443, 1.69654)
4262	-11.796581708000001	1.0897242249146513	3.319624234824959	3.489020769400617	(-16.4933, -5.38152)	(-5.73784, 7.8617)
587	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
6117	-8.962895810000024	-1.115179133535	0.30207528893430546	0.6266180663310278	(-9.52935, -8.40271)	(-2.24636, 0.121362)
5931	-11.116785035000001	1.751080669197499	1.2041742182193549	2.2588994649608383	(-13.0161, -8.76876)	(-2.48233, 6.13629)
6821	-10.487014295000009	2.5957111774890014	0.8700019713921359	1.7533946286456819	(-11.998, -8.80888)	(-0.371556, 6.16027)
3824	-8.810797688549998	-1.5542729962399955	2.9618349910546744	4.969205580859405	(-13.1278, -3.22209)	(-10.9121, 7.5778)
8401	-8.913904362835014	-1.0635732717300008	3.5426137337448407	4.784450476263031	(-14.541, -2.07329)	(-10.2076, 7.6589)
7014	-8.393357384999998	-0.3599318853099994	0.17480994170587613	0.35917283974710024	(-8.7356, -8.07368)	(-0.984963, 0.349621)
7906	-8.853669947499997	0.5656427841950014	1.7419923454949404	2.9901783645031497	(-11.5337, -5.5681)	(-5.07709, 6.26009)
1446	-7.546762504999995	-0.05130250935899995	0.28463282690612995	0.6404269299528377	(-8.04596, -7.01201)	(-1.1107, 1.2171)
7684	-9.514971529999984	0.3157788514140002	0.903391900765365	1.9468147241103004	(-11.0024, -7.87879)	(-3.09195, 4.38907)
1340	-11.23020764999997	1.106235365130002	1.063262763623733	2.1111056675809596	(-12.9758, -9.28518)	(-2.56336, 5.11645)
4392	-9.783595899999984	0.6942228725079982	0.3340857886136282	0.7122148198426108	(-10.4223, -9.20008)	(-0.562497, 2.05489)
8257	-5.912907732599994	-1.614171760976999	1.1506585198590629	2.8809354758953205	(-7.71616, -3.64585)	(-6.2584, 4.47279)
8340	-10.391988458500002	1.43206873006	3.513105624569719	3.8327979031478674	(-15.8373, -3.70326)	(-5.68964, 9.0768)
4984	-10.977364708000007	0.5664894987715006	2.7214422362396204	3.209009637696496	(-14.7399, -5.77256)	(-5.3713, 6.79952)
3797	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
5720	-9.881344390049994	1.9284690139100014	4.6109633115872475	4.238510080047821	(-17.8435, -1.06591)	(-5.9963, 10.212)
2246	-10.453563465000006	-0.2269437641799999	0.5798512753541576	1.2604566648333029	(-11.4896, -9.38402)	(-2.6082, 2.08316)
2034	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
3951	-11.214318353850011	1.9793107267850019	4.588252110786996	4.229742495884623	(-19.3504, -2.78876)	(-5.83622, 9.94785)
1294	-7.392676650000009	1.5749902857611509	1.0778628986648424	2.0730311990237524	(-9.08909, -5.25782)	(-2.24913, 5.4678)
853	-12.466230785000025	0.7502674823749996	1.7391420567725733	2.555485301071012	(-15.0471, -8.95518)	(-4.36869, 5.66661)
8146	-8.443664595399998	-0.8398534560450005	3.4212056066401404	4.8775870569441455	(-13.9531, -2.08533)	(-9.80788, 8.32498)
4066	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
3238	-9.374502319999989	-3.0250682210300037	2.0317716239295707	4.578865945925086	(-12.3988, -5.35171)	(-11.755, 5.08273)
4870	-8.709983453899993	-0.8575340420449984	3.354095076457639	4.989833908738082	(-14.0666, -2.44601)	(-10.7608, 8.04741)
1325	-11.88233331949999	3.0180970889300047	3.052148931494142	3.2946521307822083	(-16.4719, -5.78552)	(-3.63385, 9.19999)
8546	-12.23633626869998	-0.7576915549769998	5.972360526032261	4.755437157153514	(-22.3166, -1.25663)	(-9.85186, 7.8485)
