FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
7c040883f42eca28c6629a5e00fd4af9	823	281	898	131	254	72	429	224	0	0	0	0	112	26	492	73	143	11	220	1703	1814
d0b9517a6f26f847e3bf839cad5d1633	98	217	85	148	0	0	0	3	0	0	0	0	113	19	25	23	25	12	136	0	0
726fe9527294f50f4d2654b3a25730a9	16	9	16	5	11	6	8	5	26	4	5	9	4	10	28	25	95	28	28	7	0
63ef63a0465c6fdee0096363de5b7b63	0	3	0	2	76	392	526	2444	375	396	250	820	658	967	262	1042	1813	241	842	382	1230
e32f283ff0b4e236db9c0fe5b1327de7	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	188	451
29022c79e233fefa9171fd09e4533750	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
c09b0a540a7ef54141da8d2d1f9f138c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0bc4a7dd51dc09d0fad32ee694f3da67	6	6	8	7	10	6	0	5	14	7	0	2	2	7	0	6	6	6	3	5	5
8bbc92e9c53f0b9f1ea8ff76b16f132f	458	127	497	60	1010	166	465	119	0	2	0	0	67	58	575	73	22	2	77	533	586
252b2620ee96f08d9563ddd148a75214	2	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	2	0	3	12	53
8561ec00bc1bce26b5c041473036dc11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7fee9350277038eef98dee70b4190563	74	33	38	82	60	42	176	40	86	147	27	11	104	207	31	62	192	333	60	89	134
9a635a3f4244172ba790059805ba08bb	11	5	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70f37e9f9feda11a1ab44de91f4ea96a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15d1d95e2df505d77c80129986ef42ae	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
419f83c90572d8df1a4cf0ac9d95f5f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	37
4394a96eb94f6dc2e94e99bcf801ef17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10960069c1f639258cf06173217d265f	2	2	37	10	1	0	0	0	0	0	3	0	18	28	23	40	84	37	44	0	0
21a6c1f6c875ff83464130ad15d89d51	228	278	412	113	1472	668	238	259	146	113	538	141	135	24	483	124	5	2	196	112	73
2736cdb062302a93a544725af357e7d7	2	5	1	1	8	4	0	6	11	0	2	0	7	0	2	0	0	0	7	9	1
9697093167165ec9bc77828de856e1fe	0	3	0	1	0	0	0	0	10	1	0	4	0	2	0	1	4	2	2	56	7
d8c6d6fe09e8ded48012f98f418c9997	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5
78a56eb62b57e30820ca1f8a1e7bae1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f26ce6e77a0fc4c259b20aa7415d2192	67	43	40	17	8	17	9	19	110	19	0	0	8	39	0	20	95	35	16	0	0
296e6f2796bd05f64f5b8e878e2d4d90	2	19	5	18	2	15	1	26	6	35	14	41	5	7	1	11	16	9	18	0	0
6e22d14f100bc10812df7a71d773e75b	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0f9e7f8dc0bee121276fd3df28d2526e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f317a8a60481a769ff9c36a33fc7c88f	71	38	40	17	112	56	40	42	102	15	61	17	43	65	104	154	514	69	99	42	23
