FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
3392	497559.6874	37968.04142	1126006.463	207007.0682	1310963.16	763841.6006	650141.3017	379417.6841	522710.8543	275849.0705	486874.4758	308670.4323	359838.7975	323772.7555	1410974.24	343000.5386	691787.4003	323870.9649	595183.597	202373.5732	196399.979
3393	1681218.397	4368288.902	1082303.696	1132311.297	389313.966	362569.3318	156331.2804	276815.9989	864294.2808	1426772.089	167631.3535	379692.5987	1312149.778	886797.6087	3361387.955	276297.2625	102342.9283	63330.0172	855683.9784	1235402.968	279702.5552
3394	19559.29766	1605304.568	44558.78133	140452.715	56999.86769	126624.9916	51143.29654	249963.9284	228105.8468	211969.3324	25647.11039	15346.8717	0	108387.1404	30935.88211	28544.09733	131827.0163	38598.91401	34696.00092	26431.31633	16414.50647
3395	37897.06181	106001.7284	158403.2155	18128.0927	62325.14097	185482.3722	16252.20973	26150.52912	28682.62527	5689.439484	4259.056661	35621.27183	5821.620221	1597.885336	139073.517	30475.98526	7694.612904	11533.92932	2342.699047	53913.00513	6490.634817
3396	36927.08022	80316.29327	41993.18436	37710.59916	69791.27833	69803.94974	68689.35251	52595.69678	39781.63308	12427.12426	38620.77135	15784.98453	60103.85258	19919.84706	13289.38619	19833.30814	37352.56836	47901.97263	13890.70884	77748.16409	34236.03845
3397	50052.09941	65450.72534	60789.99418	436417.7822	47195.26635	61706.13556	110107.4123	26393.70694	220608.3466	153195.6273	46122.86162	41861.69012	24331.69133	18437.7569	138212.1331	15845.31513	28667.84937	19253.0611	22489.70688	137287.2155	15455.63462
3398	8220.207699	18941.42006	6187.871198	73283.49011	1548.263872	2391.899846	2603.017982	4190.782895	2470.55887	1545.479181	4135.413184	3123.942263	2932.711127	4742.855415	4003.906926	1850.390982	2534.912182	5730.913883	3705.815578	44757.58137	101947.9375
3399	4649578.46	172440.2577	1258775.586	74230.24864	7213.479025	27134.34	32992.77177	13280.09964	8016.921251	24959.5871	27493.74264	16703.71542	61817.68051	13117.07222	6767.008132	15165.5837	13429.21012	14682.54449	10626.67995	17163.14393	1998.459088
3400	232193.3433	89828.61495	191584.3278	69726.94569	64623.6134	216069.7745	10699.18616	9107.521325	44503.87058	394686.7968	44228.67548	16084.83644	134585.3278	25846.54016	75850.82152	19807.97996	72960.65181	63865.02605	32870.77976	152683.7922	38367.51971
3401	195837.3916	657772.3372	217887.6324	567402.3356	253587.0845	917261.54	54386.68501	167643.697	67406.12275	38580.9105	5576.050678	228847.2229	12889.75531	20357.37539	85189.15942	231034.6188	35410.48411	153614.1197	47925.70204	183006.7279	40013.67932
3402	314919.7915	243423.8912	371505.0084	325469.5518	598886.8346	227758.1047	334174.7547	114166.1422	709962.1937	456611.0906	38771.6879	37434.993	1083564.549	536083.6931	1390621.342	189061.1263	388979.9318	270324.05	387357.0073	622409.09	469062.4602
3403	3025597.66	57603.63099	340837.8818	49264.95871	4071.647556	25517.31849	4159.903599	1182.011872	5230.554978	7121.446211	9898.664216	3368.798273	6880.91925	587.1644691	534560.5099	1522.936887	1273.141078	0	629.1542343	9957.579687	908.7701072
3404	224870.9988	90407.31996	236744.9078	1323574.858	143839.3409	284052.9032	164549.9269	70483.42175	86158.45202	287853.9903	213408.5331	618195.2396	122369.8317	41881.0965	302560.0657	126468.0922	149449.8925	74749.94534	2893776.659	325548.4852	246280.5366
3405	518867.9547	1838398.602	442277.9972	295870.2062	47458.25784	65228.49916	23189.91048	18547.27387	122929.6611	57613.54855	78622.44384	82940.76098	64637.86439	35446.50525	133231.8435	27621.11127	21614.52035	15440.45837	16786.06483	12969.9585	7722.467351
3406	474956.5228	595807.771	944874.3831	217131.6536	74503.46032	170222.6588	129783.8271	63450.43005	87416.96848	99333.5728	1621.502028	55377.31018	162000.6694	202782.2949	338859.921	150968.3686	634158.5357	206180.3586	97894.96137	297570.172	135878.4614
3407	370578.6616	52985.64527	556428.885	742038.2832	381572.9394	429514.6503	1095163.222	1431382.547	564824.8479	325366.6521	501873.6819	290789.4442	90786.16706	12399.46824	199937.2289	127952.2325	361593.4203	219305.3162	19296.83956	747644.0484	50256.87875
3408	76468.46877	22992.15123	45950.11944	60244.67547	15167.62223	14286.70146	3561.161014	950.3594307	0	5420.616537	59567.40664	12022.20128	1570.489069	0	25808.82432	0	6471.048101	8087.630973	1964.741373	0	0
3409	54866.23736	53958.26234	38690.04963	90087.14504	63674.46685	64443.04103	43286.2231	6786.702471	15173.88917	16263.92375	21241.87432	28108.23604	19147.56689	2464.916321	47615.60443	5509.47363	22311.02567	5816.615357	18910.42773	32830.51786	8139.219047
3410	333004.7883	97217.10113	961792.5648	59282.36217	101357.904	10012.54082	6321.445717	8618.951539	2919.826534	20966.33003	35676.53378	12972.83337	2525.676803	14668.97114	355873.1714	1701.402274	1101.828629	1476.072006	24317.02963	5841.360707	2387.067902
3411	581104.462	37750.76054	1296218.454	236109.8297	547002.5174	88459.07856	48964.1417	45495.42402	19326.39224	56286.45909	28155.23909	84847.28475	187262.9238	24448.15413	665376.5463	151168.6261	209302.1626	155577.3848	27154.97224	384889.1952	44442.09525
3412	372169.0532	42711.74035	887844.9933	45188.00064	320483.6323	53149.69375	161184.5095	10414.24997	224704.8432	1829.116998	34684.6217	53306.16838	94117.67797	928.2172304	366429.752	77451.68916	101690.4984	73933.83496	1050.828536	166799.9332	4780.59858
3413	438122.0922	98132.47877	1798574.422	42897.42443	241424.4669	116873.0368	923402.8258	1076407.216	298022.6024	318163.6874	763045.7128	185670.6668	35588.34573	2110.984115	315271.4296	65911.59237	163553.8905	228211.1429	1662.316792	290799.2565	6158.37264
3414	88970.46866	62900.06354	11167.42277	204457.9782	2879.729251	1415.37061	21199.92043	6932.40273	24086.4926	109856.3324	236454.831	235494.3178	6168.79361	5666.905537	35852.9386	3446.90337	40179.97518	2235.796465	115859.9792	25971.90935	4941.661947
3415	410641.9741	3432733.917	1222362.564	1148078.126	777656.0794	1410235.983	412452.7308	509740.836	870744.1717	1807237.444	325567.1459	694739.8273	856748.3253	1089056.23	4596265.199	634844.2518	852370.7874	450443.2112	1767540.015	1696336.726	512718.1174
3416	363366.7736	45048.32198	896134.8543	48982.72775	94437.28111	7302.283472	0	11677.96324	0	26542.98864	28923.82461	10542.86677	0	14002.71565	382318.2567	551.019087	3282.418129	0	36236.05839	6165.06316	817.8757733
3417	866393.2193	870145.1193	534455.0315	310328.6537	701779.6209	424077.8056	473937.2461	188311.7946	800580.6811	488427.1951	199385.3188	244196.164	478198.2935	269453.7516	893592.7818	210996.1357	332561.8243	189335.2636	499571.6083	661599.8706	178353.6437
