FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
94	17800000	7593834.03	2317610.36	8769495.791	2007531.162	7659118.945	8657590.845	3722053.875	7413463.414	2163437.904	3341595.815	2980571.414	2460957.172	2292892.499	2628398.462	1795654.629	2706621.934	4013429.94
95	1992812.146	2074715.243	393300.4148	435919.1127	323910.9671	590147.5272	300525.1535	828323.3501	457624.4341	373089.9796	539551.7942	481515.135	520693.8714	643697.9296	316963.2652	769009.965	460128.1522	517757.0353
96	473677.9154	484494.4495	54616.88514	455146.5819	45968.43979	528966.757	457119.7952	126476.4532	237309.0542	240518.2857	173321.7388	504502.647	307868.6067	227668.1368	146414.77	165384.5854	467020.8	746241.3451
97	1756804.157	1464947.751	1216270.682	1191544.885	627518.1459	792121.0635	681421.7868	1878938.996	1250813.066	335984.4077	567887.2635	630448.378	397311.7105	329401.5064	217204.2456	2117944.03	425078.5981	925720.5055
98	7310621.218	4757723.442	1580889.957	3744268.406	1286619.881	2765179.368	1407788.77	5189752.395	5391202.048	2076777.421	2294925.641	3054620.873	2381159.661	960496.9985	405330.5463	3997423.665	1629732.608	1738497.504
99	751437.0007	735653.784	981380.0046	3710050.941	2230519.178	628307.5991	961835.637	1367495.383	1387580.282	2729358.163	3554806.333	1738267.196	6293120.928	1062187.981	3850762.494	3865317.431	936530.0568	2478138.53
100	1917300.429	1921325.233	2021188.084	1815172.348	2220393.347	2032182.982	1984801.374	2105009.716	2186517.359	2424518.899	2376469.279	2288440.394	2129193.405	2291564.889	2428532.295	2290812.257	2356348.216	2115874.784
101	400269.5395	362363.6827	104735.4645	360164.658	47021.20113	353381.5791	444928.6846	154064.9161	392235.7482	344180.2723	405626.5919	788760.762	185630.3475	244030.1971	58913.21866	557901.5747	321917.6165	508873.1722
102	1033583.399	907189.6918	576427.1935	764699.7355	398179.7178	915463.3821	885821.5971	436020.0105	604750.558	356412.3741	781082.6554	563552.5696	599418.692	380861.9096	1106227.239	887670.9361	526356.331	615030.5867
103	12500000	11800000	5312030.821	3.4e+07	2674723.175	9310656.347	8821123.569	3928783.273	26800000	4973170.583	3123646.557	9453030.001	6143691.737	6756966.448	6838377.301	5178692.714	13200000	27100000
104	3487613.803	13252.6731	1603303.66	1223143.758	2675062.705	2971708.061	4518124.089	3322222.814	3023852.271	1192666.592	2276967.006	1078145.884	1839803.268	1725938.033	1194678.967	3121699.34	182167.4983	255247.8835
105	308793.59	146023.9529	182622.3084	52029.86942	474453.3111	1313425.334	850804.5236	683055.9719	361036.9019	414959.5272	571062.8955	775179.2909	976340.0129	523481.3132	262714.6382	747069.0947	591917.0632	294306.7079
106	1207529.218	1222354.405	2795952.424	1389262.046	4358917.835	2000160.111	1778323.253	4634398.88	2646070.304	6789350.722	4268986.936	2326212.575	3713261.294	3794689.57	3070444.148	1005695.327	1414892.132	4542745.309
107	2956928.109	3376453.191	1770733.42	5713735.282	860117.6374	3016037.214	3201774.056	1163465.107	4362196.181	723525.4604	562994.8462	1406267.974	2185896.423	2271162.431	3298290.148	1255436.007	1648812.807	2370954.543
108	1622149.213	1694281.296	347631.9578	1680647.589	315323.1464	1405625.676	1268314.821	332188.6817	1371207.603	320989.184	374613.9755	527910.462	731489.6088	688717.2294	979042.6137	544558.7162	468458.2603	1390173.965
109	1.9e+07	15200000	1728151.658	6161524.203	553319.6288	9227367.686	4874379.508	4057783.715	4504279.432	1711012.628	655878.6782	3378342.874	1916585.389	703113.9243	512548.6068	1517373.37	5815855.626	5143119.192
110	3642528.675	4814505.227	552493.9452	4006772.367	758998.5355	1146464.251	931808.4089	1202486.309	2674130.913	173596.7895	657292.2419	456773.1344	398290.7183	822274.1425	1129518.936	316313.6906	226022.0882	826797.5888
111	3905135.696	3556402.305	3621701.126	3734148.717	3503429.157	3553683.595	3403951.436	3669065.004	3747833.822	3413682.084	3513121.877	3350545.765	3572907.511	3361301.521	3312610.175	3713637.171	3494462.816	3503868.708
112	822511.3916	686746.3776	999883.1901	770004.6194	1283934.585	1247796.067	922655.8728	809499.0359	777481.2496	824242.2291	1345208.584	1013392.214	446793.6975	1130635.773	1212885.936	750800.7873	712466.8375	715304.2228
113	88700000	86400000	1.02e+08	92700000	97700000	98200000	84700000	1.09e+08	97600000	96600000	93800000	94300000	88700000	93400000	89400000	8.3e+07	85100000	89700000
114	608164.054	621602.1208	442535.7972	546215.1705	519317.1481	621475.3342	528426.585	447036.1959	604735.3562	459771.7503	600107.619	517973.1588	551219.2365	495921.0855	869703.8123	598165.8718	488183.1076	553925.6246
115	6385947.361	7998383.941	1337180.236	10200000	974278.5699	3606971.558	3119214.563	2029246.658	3370165.407	1686155.376	1066567.748	3154028.519	1845802.904	1600770.669	1150032.894	4769126.762	5362964.261	5832507.4
116	984206.8037	970192.669	1100465.826	1054275.092	1014714.201	994761.1508	951038.522	994081.9513	1051665.182	984415.243	973186.1337	916637.9905	1013058.02	1018463.262	1016228.955	894586.4122	1003750.058	972465.7971
117	6701584.864	4595267.464	769655.7497	2392992.635	521111.3622	3887638.21	3302828.325	1598281.897	3797943.011	1378560.929	1714215.637	2531770.894	1087057.854	1039151.242	329205.2652	1750242.437	1183833.079	3344519.295
118	8074719.969	7358742.152	1298636.276	1792520.224	1095943.568	7901560.907	2574044.016	1426709.791	1309341.054	1020768.542	533486.2695	2816077.941	1795520.697	622094.7222	679777.6612	4038475.513	2078647.483	1216590.252
119	242636.4967	298157.5429	159704.7197	578583.9983	123064.3127	201499.6419	231676.0908	105796.8496	306271.2969	160169.3	287356.4575	249978.9466	277834.5989	281044.0634	162892.3604	206928.9181	255349.2079	555518.1274
120	7224706.979	5231455.993	1975041.063	1932246.647	1920913.03	4747368.351	1485943.424	3822059.546	5302610.542	5528878.949	6385678.905	7356136.137	2170499.427	1590023.43	4380981.306	5249523.531	729956.3357	1017577.315
121	7755835.653	1288893.272	1044553.599	1236572.61	1386954.026	3346905.651	2465122.018	1924855.252	1525552.085	463711.6042	488396.8077	649257.6803	1008825.761	514051.6995	543402.56	2587049.063	787474.3489	346358.9719
122	1661004.724	1081083.431	387229.5959	835572.4528	320530.3726	607921.5239	347828.1767	1137042.199	1201804.27	467885.934	476539.151	648673.8592	494267.5493	246343.8249	97060.88237	883486.2264	384129.1838	267538.3883
123	2231874.841	2219194.896	2074118.64	2085696.617	2030567.34	2147138.94	2158086.257	2043790.61	2051506.6	1976656.219	2067655.243	2120255.59	2123787.39	2024748.368	2082283.684	2129093.214	2183573.893	2139343.547
124	52204.6301	133455.7871	111381.831	166990.1337	236455.3584	185815.7583	1286220.523	118520.4536	262406.9697	633035.5542	1484225.142	894291.2222	530366.0145	238124.5425	3659376.173	827961.9488	1066189.353	301258.17
125	799848.1834	894810.9605	978200.3093	917050.5284	2584243.523	1044834.474	1181343.102	1279904.066	1025450.842	922472.5607	912401.0158	1080852.548	4927354.436	1661716.337	4667429.027	1387708.006	1074511.131	1468037.24
