FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
35f839f7a320bae00763c1898fda3197	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11f663c2ffcffade8066a7d5da6836db	9	6	3	0	0	63	3	10	4	18	0	3	2	2	16	0	14	4
a5f692a68aa228639973f221671990d5	151	716	660	105	486	680	90	527	251	1410	149	104	97	37	530	582	524	205
de2b74b8890d40f4462c2a39ba26c418	135	92	27	42	18	16	43	15	23	5	6	17	4	7	62	46	2	2
0fc21b0da0b6c449c1404d58d21dbc77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
a814fa53675e61dfdc958627b6fb14f4	5	0	8	0	25	0	2	8	2	0	0	0	2	0	0	20	0	5
fb47ebf73791a9cd5a943010dfc49812	510	192	162	188	180	164	1037	99	211	1739	1061	622	35	81	2613	233	926	692
5db2cf37007f874e25eb2c901917e15a	3	4	3	0	0	20	38	40	19	46	14	5	35	0	0	18	4	4
db9db3b1bb08f37fccd7afb6554cf79c	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0
e852306e2ae16e53274c18216827c27e	0	0	0	0	0	25	0	0	0	0	0	0	3	0	0	54	20	15
1e77d5148b83dfe09ea238df36c06409	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1247b655d9804d0973d52adb92a8975e	2	0	0	0	0	0	2	0	0	4	0	0	0	0	2	2	2	2
31521431043b638a224abfec559adb87	1	4	21	0	14	72	4	27	28	32	3	2	2	0	32	15	4	0
62a1d14f2646dc0d4a69650b625ad79b	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	152	0	0
3af4973333a2fb53d4f764da8cebd075	24	0	2	0	0	5	0	8	0	14	3	0	0	0	0	5	7	4
e28b1d560656940e1916b9d0c3b85453	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3fb2ce862d743e3d9788332ba6333376	16	4	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0
746cf7421f47f4326df5e1ec3b418755	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cee68a333626762a86725bec4c00817	1	1	3	0	3	3	0	0	3	2	0	0	0	0	0	4	0	1
594eaf92d4c7171ce0b3636ca4f46341	3	9	7	0	7	6	0	7	0	6	0	7	0	0	0	0	0	0
660d1dabf777bcce310915d1ff4e27b4	3	0	18	64	10	13	7	0	2	4	11	0	3	6	5	17	0	0
c04e71ae01360e64d1f4b093781b2b10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
