Feature	Intercept_mean	C(NASH_category, Treatment('Non_NASH'))[T.NA]_mean	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_mean	Intercept_std	C(NASH_category, Treatment('Non_NASH'))[T.NA]_std	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_std	Intercept_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NA]_hdi	C(NASH_category, Treatment('Non_NASH'))[T.NASH]_hdi
1574	-9.539335279999998	-7.816085618050012	0.6108936954420002	1.2493191253045093	1.9095345565979138	1.6859827297692018	(-11.7326, -7.27917)	(-11.4489, -4.38793)	(-2.77555, 3.61392)
2078	-11.748113535000009	-0.33202461480969986	0.14675292928750003	0.3836277106234034	0.4672051056417088	0.4656094857155754	(-12.4598, -11.0664)	(-1.22248, 0.51741)	(-0.658734, 1.08094)
4048	-13.16667565	-0.6368732177125004	0.410770858232	0.4109584298223822	0.4980849485779634	0.5260566786245402	(-13.9111, -12.369)	(-1.60528, 0.261359)	(-0.640133, 1.33933)
1834	-8.720239330000005	1.253512536320003	0.26380050197049976	0.3816594042912488	0.476580953510106	0.47498592430965214	(-9.39494, -7.94966)	(0.343835, 2.12771)	(-0.660448, 1.11821)
685	-8.917414665	0.5786085461469991	0.13752336082999986	0.7747729423862106	0.9203263449234887	0.9929056014061268	(-10.2974, -7.54795)	(-1.13565, 2.2926)	(-1.64938, 1.98702)
2744	-14.536403800000004	1.997280030199998	0.46927765427264023	0.7022269137077847	0.8095988053214423	0.8361452719942519	(-15.6606, -13.175)	(0.530499, 3.48276)	(-1.26651, 1.84764)
574	-8.383088874999997	-7.438579775	0.031984882279999925	0.8322382299850707	1.0880685198549764	1.1123337574814296	(-9.83079, -6.85764)	(-9.3344, -5.22833)	(-1.96419, 2.19677)
3395	-11.37913768500003	1.2818386848740027	-0.8189817406849987	0.7927082518177101	0.9636945149918382	0.952030097027362	(-12.8456, -9.9552)	(-0.621979, 2.97581)	(-2.63997, 0.94628)
2739	-15.599381024999996	0.8673605142950009	1.4977743081255004	3.3613609389145473	3.387125403615966	3.3619693702131688	(-21.6193, -9.24353)	(-5.70647, 6.94103)	(-5.16606, 7.47614)
1849	-10.388254395000004	0.4193596487250005	0.11883201746400018	0.17243777411412492	0.21234173835790715	0.22045086109041165	(-10.6976, -10.0513)	(0.0213691, 0.809682)	(-0.294311, 0.536582)
1248	-8.75075723	1.1299653805000003	0.5296757435239996	0.30022105807992056	0.3744601914320514	0.37485594886483686	(-9.29112, -8.17783)	(0.445588, 1.85507)	(-0.196531, 1.21896)
2787	-13.32600455000001	0.13076761509390009	0.1519766409725499	0.2632943416298521	0.315161688803932	0.3364087900723219	(-13.8064, -12.8244)	(-0.450872, 0.749331)	(-0.450185, 0.766663)
3272	-14.630079680000012	-1.6241893431330006	-1.5145828332250004	2.064855896502588	2.3470075789255915	2.4433267585580487	(-18.3653, -11.0092)	(-6.58687, 2.57357)	(-6.10592, 3.17899)
248	-8.08519153500001	-0.49925661482699907	-0.09220577994489991	0.32757344873950617	0.4061262688398757	0.4023260872726349	(-8.67295, -7.46353)	(-1.26018, 0.267078)	(-0.838284, 0.645727)
812	-10.787545754999982	1.333667927505001	1.5486153517645005	0.683005240354736	0.8145588594323706	0.8085926345014426	(-11.9511, -9.49908)	(-0.388659, 2.67782)	(-0.00136623, 2.99456)
4062	-12.39932863650003	-1.2228891971290015	-0.6567006801599987	3.9416851882926984	4.009765517982715	4.247470399921266	(-19.2682, -4.7186)	(-9.30604, 5.85561)	(-8.1437, 7.90728)
1385	-9.699891580000005	-0.08336126623499998	-0.6571995599399996	4.899584465979919	4.790819573044891	5.140855166910009	(-18.1746, -0.211326)	(-9.19857, 8.60734)	(-10.1489, 9.00234)
3859	-12.839497549999994	0.24242038355249965	0.04289291617350009	0.33464009572822784	0.4096944217383267	0.4144342249054333	(-13.4467, -12.1878)	(-0.529366, 1.00594)	(-0.712895, 0.859686)
2526	-10.021735379999987	1.1007717465	0.3530546841500001	0.12053738662239032	0.1476662701490197	0.1522974999915229	(-10.2467, -9.79818)	(0.839043, 1.40393)	(0.0638766, 0.632466)
691	-8.179612229999995	-4.563247115000004	-0.709643957483	0.5931472812932103	0.7285696420531302	0.735891100027033	(-9.32169, -7.14093)	(-6.0095, -3.26857)	(-2.05545, 0.711443)
3824	-10.541181455000002	0.18431762815	0.08872484841490014	0.13751702360847168	0.16993227729333824	0.17323386295478138	(-10.7978, -10.2873)	(-0.148995, 0.488655)	(-0.207493, 0.440279)
806	-8.142804979999987	-6.354430775000009	-0.18374027905850007	0.7247607040803191	0.9019358177188941	0.9075032764015905	(-9.34411, -6.76733)	(-8.09521, -4.68584)	(-1.91201, 1.47916)
1262	-10.770660854999981	1.1327691479899993	1.0977774870850023	0.3959924364574647	0.48116663491263684	0.5006556695967456	(-11.4998, -10.0345)	(0.202762, 2.02523)	(0.186044, 2.05572)
4185	-10.085350204628986	-1.0430997791620014	-0.6360798893500008	4.727485123258378	5.082003585239035	4.865315529201241	(-18.8522, -1.67333)	(-11.2232, 8.0977)	(-9.76038, 8.13166)
3258	-12.927763805999962	-0.46652643046499964	-1.2040689632550023	3.7885983832325762	3.7653986343178025	3.970939517360555	(-19.8257, -5.36635)	(-7.38262, 6.8327)	(-9.48784, 5.5831)
