Name	FeatureID	mz	RT	Compound_Name.x	LibraryQualityString	SharedPeaks	LibraryName	MQScore	MassDiff	MZErrorPPM	Adduct	IonMode	mtb_group	ratio	min	max	cred	cat	collection_time	disease_stage
3885 m/z 628.3421391 unknown	3885	628.3421391	4.337792584	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.92723711878	-3.2485	-0.654402	credible	Non_NASH	ZT1	Wk 4
3867 m/z 537.2407805 unknown	3867	537.2407805	1.68248656	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.90622875617685	-4.69461	1.35062	not_credible	Non_NASH	ZT1	Wk 4
1738 m/z 365.1919473 unknown	1738	365.1919473	0.53932791	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.89499319775	-4.27377	0.389553	not_credible	Non_NASH	ZT1	Wk 4
4434 m/z 611.9693168 unknown	4434	611.9693168	4.711590786	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.880375697605	-10.8665	7.19236	not_credible	Non_NASH	ZT1	Wk 4
2380 m/z 360.129354 unknown	2380	360.129354	1.724892427	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.863155826455	-4.69935	0.812774	not_credible	Non_NASH	ZT1	Wk 4
851 m/z 377.1929311 unknown	851	377.1929311	1.872051422	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.8598117810135	-3.64383	-0.127232	credible	Non_NASH	ZT1	Wk 4
2375 Suspect related to p-Acetamidophenyl .beta.-D-glucuronide  unknown	2375	340.1030999	2.250181572	Suspect related to p-Acetamidophenyl .beta.-D-glucuronide 	Insilico	8	lib-00053.mgf	0.922847	9.15527e-05	0.269191	[M+H]+	Positive	unknown	-1.8575842887	-11.6977	7.54538	not_credible	Non_NASH	ZT1	Wk 4
1636 Suspect related to Adenylosuccinic acid  unknown	1636	384.1152998	0.721735588	Suspect related to Adenylosuccinic acid 	Insilico	8	lib-00053.mgf	0.954457	0.000701904	1.82732	[M+H]+	Positive	unknown	-1.8419726151	-5.1395	1.45687	not_credible	Non_NASH	ZT1	Wk 4
622 m/z 382.189979 unknown	622	382.189979	3.339899679	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.795913578685	-4.00745	0.367923	not_credible	Non_NASH	ZT1	Wk 4
1618 m/z 359.131999 unknown	1618	359.131999	1.892562376	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.7942772634285	-5.1293	2.15351	not_credible	Non_NASH	ZT1	Wk 4
1623 m/z 366.2131874 unknown	1623	366.2131874	2.062505857	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.779293573573	-3.99945	0.0964531	not_credible	Non_NASH	ZT1	Wk 4
4448 m/z 294.0061093 unknown	4448	294.0061093	2.085117608	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.77848339970255	-6.16708	2.95623	not_credible	Non_NASH	ZT1	Wk 4
1067 m/z 428.2127186 unknown	1067	428.2127186	3.108761036	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.774040682765	-3.62762	-0.154301	credible	Non_NASH	ZT1	Wk 4
1084 Suspect related to Massbank:PR311013 Feruloyl putrescine (isomer of 1173)  amines	1084	441.2016245	4.111554623	Suspect related to Massbank:PR311013 Feruloyl putrescine (isomer of 1173) 	Insilico	8	lib-00053.mgf	0.932833	0.00259399	5.87942	[M+H]+	Positive	amines	-1.7650223908775	-5.43789	1.70619	not_credible	Non_NASH	ZT1	Wk 4
1701 m/z 225.0687809 unknown	1701	225.0687809	2.51167113	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.76119256119	-5.55469	1.51301	not_credible	Non_NASH	ZT1	Wk 4
2926 m/z 673.3422181 unknown	2926	673.3422181	3.623648654	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.747808824875	-6.98605	4.69866	not_credible	Non_NASH	ZT1	Wk 4
2372 m/z 337.1426733 unknown	2372	337.1426733	1.926029177	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.741990125985	-3.2079	-0.538155	credible	Non_NASH	ZT1	Wk 4
1561 m/z 246.0739841 unknown	1561	246.0739841	1.478490957	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.73302271259	-4.0145	0.324975	not_credible	Non_NASH	ZT1	Wk 4
613 m/z 365.192366 unknown	613	365.192366	1.183158057	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.732033331225	-3.694	0.609884	not_credible	Non_NASH	ZT1	Wk 4
3899 m/z 736.3363119 unknown	3899	736.3363119	1.554337843	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.7306837059375	-6.57514	2.72517	not_credible	Non_NASH	ZT1	Wk 4
2222 m/z 303.0062708 unknown	2222	303.0062708	1.801943423	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.72111126388	-7.58477	5.81152	not_credible	Non_NASH	ZT1	Wk 4
2755 m/z 288.0175717 unknown	2755	288.0175717	1.290553017	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.714678362525	-11.7628	7.12545	not_credible	Non_NASH	ZT1	Wk 4
3042 m/z 620.3195952 unknown	3042	620.3195952	6.822989871	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.712245582045	-11.1718	7.48407	not_credible	Non_NASH	ZT1	Wk 4
3755 m/z 714.3462922 unknown	3755	714.3462922	3.353357845	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.7090970408695	-3.83754	0.887115	not_credible	Non_NASH	ZT1	Wk 4
2556 m/z 553.777721 unknown	2556	553.777721	2.607524043	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.7025069988361	-4.80592	1.59537	not_credible	Non_NASH	ZT1	Wk 4
918 m/z 224.0920248 unknown	918	224.0920248	1.489821422	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.679406132115	-3.59209	0.489446	not_credible	Non_NASH	ZT1	Wk 4
3306 m/z 714.8909791 unknown	3306	714.8909791	3.493932138	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.67349040852	-11.3747	8.61867	not_credible	Non_NASH	ZT1	Wk 4
1367 m/z 228.0633071 unknown	1367	228.0633071	3.283577859	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	-1.67280281313	-6.24816	3.22763	not_credible	Non_NASH	ZT1	Wk 4
