FeatureID	mz	RT	mtb_group
303	432.2382076	6.728557619	unknown
304	432.280738	2.467792917	glycols
305	432.3598071	9.919734527	carnitines
306	433.2324135	6.651307483	unknown
307	434.2385624	4.408647398	unknown
308	434.3264942	6.653930335	unknown
309	434.3629787	6.858510453	bile acids
310	435.1562962	3.376766916	unknown
311	435.2483681	6.513689363	unknown
312	436.2366624	4.359781867	unknown
313	436.3422225	6.509986169	bile acids
314	437.1934609	6.728769728	unknown
315	437.2639874	6.993019347	unknown
316	438.3577103	6.997324282	unknown
317	438.3790399	8.845670997	glycols
318	440.2774221	7.067426842	fatty acids & other lipids
319	440.3261106	9.649209541	unknown
320	441.3364328	9.377318797	unknown
321	442.2550032	3.426645095	unknown
322	442.3165511	4.421837264	bile acids
323	443.3519608	9.796417999	unknown
324	443.3884808	9.369873256	bile acids
325	444.2418603	5.036225899	unknown
326	445.367709	9.641840117	unknown
327	445.367697	9.54942452	unknown
328	446.3751178	10.17004003	carnitines
329	447.3467559	9.285521879	carnitines
330	448.3422295	5.685189663	unknown
331	448.354477	8.999499347	carnitines
332	450.3579279	5.91680909	bile acids
333	450.3788891	8.426475814	fatty acids & other lipids
334	451.2997029	7.551730494	unknown
335	452.2830965	8.102560042	unknown
336	452.3735392	5.079282094	bile acids
337	452.3946447	9.244666246	glycols
338	453.16738	6.729250622	unknown
339	453.3188397	7.94691436	unknown
340	453.3438484	2.99069885	unknown
341	454.2929764	7.546143777	fatty acids & other lipids
342	454.3417113	9.918890951	unknown
343	455.3138697	5.945231082	unknown
344	455.3343408	8.418568732	unknown
345	457.3289881	8.690430539	unknown
346	459.3468846	9.344201568	unknown
347	460.2695052	6.728259026	unknown
348	460.3543796	9.920696737	carnitines
349	461.2680978	5.052659371	unknown
350	461.3626149	8.540876839	unknown
351	462.2591351	7.066484881	unknown
352	462.2673419	3.908225306	bile acids
353	462.3699519	9.297407056	carnitines
354	463.378137	9.530352956	unknown
355	464.2835405	4.573561446	unknown
356	466.3528764	5.101002688	bile acids
357	466.3892954	8.997693815	carnitines
358	468.3573446	10.16839695	unknown
359	468.389679	8.399892233	glycols
360	469.2928331	8.02433657	unknown
361	470.2287235	4.505088161	unknown
362	471.3089511	5.105182552	unknown
363	471.3444622	8.996935114	unknown
364	473.2405801	6.996933106	unknown
365	473.3243205	7.923287632	unknown
366	476.3069088	2.634492139	glycols
367	478.2626147	3.730497216	unknown
368	479.2383865	6.657950346	unknown
369	480.2779545	3.924525909	bile acids
370	481.2540096	6.5128321	unknown
371	482.3242682	8.214213577	fatty acids & other lipids
372	482.3299599	5.395078804	bile acids
373	482.3302257	5.666529099	bile acids
374	482.347655	4.968927563	bile acids
375	482.4052696	8.815226444	glycols
376	483.2696784	6.994546092	unknown
377	483.3811465	9.3778403	unknown
378	484.3523074	9.298221844	unknown
379	484.3635166	5.102360601	bile acids
380	485.1600392	7.174494885	unknown
381	485.3602675	9.52971011	unknown
382	487.3055324	9.174134923	unknown
383	487.3398141	8.232273261	unknown
384	487.3760381	8.254228357	unknown
385	488.2459567	6.997066167	unknown
386	490.2834873	4.871560543	bile acids
387	493.2473614	5.242575448	unknown
388	495.3083924	8.238550432	unknown
389	496.2730096	3.656985263	unknown
390	496.3399836	7.609306429	phosphocholines
391	496.4208801	9.211942866	glycols
392	497.1341217	2.582659867	unknown
393	498.288492	3.908751993	bile acids
394	499.2649322	5.240063726	unknown
395	499.3203476	4.552106683	bile acids
396	499.3394377	9.344242504	unknown
397	500.3044869	5.371272693	bile acids
398	501.3342207	9.530841413	unknown
399	501.3551979	8.536621394	unknown
400	503.2358072	7.067122269	unknown
401	504.2626318	4.775268962	bile acids
402	505.2514923	6.990057185	unknown
403	506.278319	4.907818201	bile acids
404	507.3103575	5.69730379	bile acids
405	508.4359645	9.53043893	unknown
406	509.2180169	4.77548613	unknown
407	509.287329	9.174762628	unknown
408	512.4156904	8.373577575	glycols
409	514.2833765	3.769065467	bile acids
410	515.3146917	3.909868496	unknown
411	516.2743835	5.429239548	unknown
412	516.298953	3.954251741	bile acids
413	517.2208692	5.695517056	unknown
414	517.3308596	4.587943383	bile acids
415	519.3102297	3.550751901	bile acids
416	520.2704007	3.924446689	bile acids
417	520.2936576	5.264038685	bile acids
418	520.3330218	2.781414223	glycols
419	524.3711662	8.303038232	phosphocholines
420	526.2574659	4.548193949	unknown
421	526.431203	8.78435752	glycols
422	531.200058	4.777125448	unknown
423	531.3096924	3.786993677	bile acids
424	533.2155379	4.917685555	unknown
425	533.3254408	3.919360653	bile acids
426	534.2736546	5.185615344	unknown
427	534.2735956	5.438633877	unknown
428	535.3048886	4.727866394	bile acids
429	537.3206515	4.972289613	bile acids
430	540.4469125	9.176626391	glycols
431	542.2520404	3.982624686	unknown
432	542.2897112	5.775929143	unknown
433	546.3095284	5.822130191	bile acids
434	548.3252217	4.94186394	bile acids
435	550.2460197	5.185481258	unknown
436	550.3409058	5.078183743	bile acids
437	551.2648098	5.818942901	unknown
438	554.175998	9.665472614	unknown
439	556.4420168	8.345915946	glycols
440	560.2888569	5.270583385	unknown
441	562.2866886	5.121452794	bile acids
442	562.3045278	4.966896224	unknown
443	563.299975	4.473046126	bile acids
444	563.3364072	5.390022706	bile acids
445	564.3202601	5.098571161	bile acids
446	564.3594662	2.911050599	glycols
447	566.3359785	4.524222057	unknown
448	570.3213137	6.65718724	unknown
449	570.457601	8.751551306	glycols
450	571.0350575	6.765894002	unknown
451	573.0319968	6.765467244	unknown
452	577.3499724	10.01008975	unknown
453	579.1619578	4.232387728	unknown
454	584.4733729	9.14246343	glycols
455	585.2701674	10.2511515	unknown
456	588.0616287	6.765626517	unknown
457	589.3019908	4.916926818	unknown
458	590.0586089	6.765432079	unknown
459	591.3179386	4.258865	unknown
460	593.0170447	6.76559574	unknown
461	593.3340255	4.230239543	unknown
462	594.240121	3.731551912	unknown
463	594.2401482	3.700464458	unknown
464	595.0139789	6.764942281	unknown
465	595.3492278	6.122839478	bilirubins
466	595.352547	4.539623165	unknown
467	596.2557051	3.904145862	bile acids
468	597.3649918	6.191261777	bilirubins
469	597.4489632	10.31597655	unknown
470	600.4682793	8.318666236	glycols
471	602.2429904	4.542628413	unknown
472	607.3126114	4.747112742	bilirubins
473	607.3126627	4.765348075	bilirubins
474	608.3857034	3.031700805	unknown
475	609.2516214	3.721626778	bile acids
476	609.2878675	4.448003283	bile acids
477	609.3284745	4.817635023	bilirubins
478	611.2669793	3.783289905	bile acids
479	611.3034498	4.600976798	bile acids
480	611.3441126	4.879414558	bilirubins
481	614.2647969	3.783430109	unknown
482	614.4839108	8.717584313	glycols
483	615.2790847	3.902208944	unknown
484	615.3150207	4.230295321	unknown
485	615.3152976	6.15371436	unknown
486	616.2221143	3.787285407	bile acids
487	617.3313142	6.126239513	unknown
488	618.0899361	6.764755351	unknown
489	618.2377985	3.910576199	bile acids
490	619.3468954	6.185816819	unknown
491	628.1947404	10.18014038	unknown
492	628.330684	2.426019705	unknown
493	628.499669	9.106025228	glycols
494	629.2778235	3.34493748	bile acids
495	630.3084592	3.90332411	bile acids
496	637.297404	6.169690719	unknown
497	638.2042018	3.792327238	unknown
498	639.3132389	6.121121491	unknown
499	641.3140269	3.906535391	bile acids
500	644.4945454	8.291976091	glycols
501	649.2135473	3.784255203	unknown
502	651.2291279	3.91190304	unknown
503	655.2764871	5.736950651	unknown
504	658.5101945	8.686347505	glycols
505	665.185841	3.782243006	unknown
506	667.2013866	3.910094698	unknown
507	672.5259364	9.070770806	glycols
508	673.2899214	3.65379715	unknown
509	675.3053793	4.45712696	bilirubins
510	679.5119774	3.583872212	unknown
511	688.5208577	8.265723214	glycols
512	702.5364673	8.654364496	glycols
513	749.165363	3.962590309	unknown
514	766.1921187	3.979862158	unknown
515	785.592482	6.997343861	bile acids
516	802.6185183	6.99708946	bile acids
517	807.5742734	6.995954158	unknown
518	823.5450733	6.997456706	unknown
519	829.5562432	6.99761504	unknown
520	839.5109021	6.998011375	unknown
521	839.5641248	5.183786759	unknown
522	865.5327561	6.996545171	unknown
523	919.9203316	3.889420603	bile acids
524	928.4340326	3.895590348	bile acids
525	945.46044	3.895362274	bile acids
526	1208.529716	3.895553362	bile acids
527	1221.847768	6.995775035	unknown
528	1225.556228	3.895115347	unknown
529	1242.582619	3.897571477	bile acids
530	153.113417	10.41522644	unknown
531	163.1329664	2.931769099	unknown
532	171.1856232	0.48116547	unknown
533	172.0968676	0.522195962	unknown
534	176.0377525	1.967078112	unknown
535	182.0786789	1.08293613	unknown
536	183.1492498	3.467829879	unknown
537	188.1282208	3.319760092	fatty acids & other lipids
538	190.0499812	1.4861745	unknown
539	196.0944246	2.541677425	unknown
540	203.1101773	3.453525163	unknown
541	204.0691974	0.740353472	unknown
542	209.153674	6.009592714	unknown
543	211.1692033	3.80266322	unknown
544	215.1391971	0.551226029	unknown
545	216.1233126	1.668081685	fatty acids & other lipids
546	223.1692734	4.083561554	fatty acids & other lipids
547	224.0412544	1.968626095	unknown
548	225.1099359	2.465400027	unknown
549	227.102746	0.559583942	unknown
550	229.1548803	0.623437529	unknown
551	231.1416536	4.642417889	fatty acids & other lipids
552	237.0694518	2.775244968	unknown
553	238.143921	3.253589826	fatty acids & other lipids
554	240.1596007	2.735505591	fatty acids & other lipids
555	245.1862087	1.723317438	unknown
556	246.1700952	4.544642481	fatty acids & other lipids
557	247.1289639	0.546539989	unknown
558	248.1133151	1.131414675	unknown
559	249.1271855	0.613313217	amines
560	250.1111435	1.65851096	unknown
561	251.1618912	3.787215178	unknown
562	254.9936066	0.984670652	unknown
563	257.981158	1.557295013	unknown
564	260.1858604	2.678621049	unknown
565	261.1445971	0.565648286	amines
566	263.1028528	2.060348366	unknown
567	263.1391878	2.245833511	unknown
568	263.142764	1.662453326	amines
569	265.1549324	1.608566058	amines
570	267.1721383	7.493191597	unknown
571	274.1835623	5.150901371	unknown
572	274.2376141	3.786816123	unknown
573	275.1064158	2.223147377	unknown
574	276.97561	0.996897311	unknown
575	279.1341225	0.639436703	unknown
576	279.1341295	0.658515388	unknown
577	279.1705477	2.342504203	amines
578	293.1345777	0.902624141	unknown
579	295.1655366	1.594639421	amines
580	297.1850435	5.202153077	unknown
581	298.0971896	1.127517811	unknown
582	302.1237181	2.517973196	unknown
583	302.2075062	2.59654914	amines
584	302.2076797	2.011447127	amines
585	302.3054671	6.826404969	unknown
586	303.1705338	3.333201572	bilirubins
587	305.2474492	9.272916104	unknown
588	310.128709	0.501163205	unknown
589	318.1815839	2.843064259	unknown
590	318.1914137	2.224838335	unknown
591	318.2026253	1.966024342	amines
592	318.3003679	6.849652082	fatty acids & other lipids
593	321.1480825	2.301940433	unknown
594	321.1807288	3.98308157	bilirubins
595	325.0893496	0.797595909	unknown
596	328.1393507	0.495308238	unknown
597	329.2474455	9.179048509	unknown
598	332.2180616	2.549984599	amines
599	332.3312494	8.229014636	unknown
600	334.1651088	3.452571789	unknown
601	337.1047461	7.085098089	unknown
602	341.6800271	1.912079077	unknown
603	343.1370544	2.114185861	unknown
604	344.2282922	2.022773732	glycols
605	346.1684907	5.423979501	unknown
606	348.1768956	0.985465427	amines
607	348.2170755	4.408756435	fatty acids & other lipids
608	348.2746106	5.027443175	fatty acids & other lipids
609	352.1868043	2.195368456	unknown
610	352.1967768	2.618274761	unknown
611	352.3211602	9.012811766	unknown
612	363.2166261	4.519368579	unknown
613	365.192366	1.183158057	unknown
614	366.2980962	8.54464543	unknown
615	368.1919271	2.985349932	unknown
616	371.1274401	3.141952083	bilirubins
617	371.1830186	4.416510505	unknown
618	374.2287817	2.640076601	amines
619	376.2481058	3.852820713	unknown
620	379.2084072	2.084637524	unknown
