CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
493	4163	7	0.9374	152.193
421	4233	7	0.9687	-44.026
242	262	7	0.903	-14.016
391	4144	7	0.9555	44.026
1890	1925	7	0.915	-132.079
1906	1920	7	0.8815	-58.042
1865	1916	7	0.8911	-132.078
175	196	7	0.9311	-14.016
227	4205	7	0.9371	-138.177
449	4205	7	0.9791	44.026
1890	1916	7	0.8673	-74.037
242	1925	7	0.8926	-220.131
218	359	7	0.9141	-88.053
359	391	7	0.9869	-28.031
171	192	7	0.9893	-14.016
4099	4144	7	0.9481	-44.026
1920	1925	7	0.91	-44.026
359	4184	7	0.9545	-28.031
262	1880	7	0.8863	-44.026
418	507	7	0.9379	-152.193
1865	1890	7	0.8775	-58.041
391	4184	7	0.9521	-0.000
470	511	7	0.957	-88.053
1906	1916	7	0.8876	-44.026
408	4205	7	0.9801	-14.016
1659	1920	7	0.8437	307.274
454	493	7	0.9572	-44.026
482	512	7	0.9325	-88.053
1916	1920	7	0.9004	-14.015
1890	1920	7	0.9271	-88.052
421	430	7	0.977	-14.016
317	4130	7	0.9495	-0.000
504	512	7	0.936	-44.026
478	494	8	0.8503	-18.011
1347	4219	8	0.8227	-35.037
409	4219	8	0.8227	-35.037
494	4219	8	0.8647	79.957
4218	4219	8	0.8643	-0.001
1347	2555	8	0.8923	-35.037
478	4218	8	0.8992	61.947
409	4242	8	0.9116	-79.957
423	4218	8	0.8781	-18.010
409	423	8	0.9188	-17.026
1159	4242	8	0.8858	-62.930
2555	4242	8	0.9196	-44.919
423	4242	8	0.9538	-62.930
476	478	8	0.8629	-1.979
665	1347	8	0.8222	-36.021
423	478	8	0.8739	-79.957
1159	4219	8	0.8813	-18.011
476	1917	8	0.8575	48.003
478	2555	8	0.8687	61.946
423	1347	8	0.9188	17.026
478	1917	8	0.9121	49.983
475	478	8	0.8521	-2.015
409	1159	8	0.8498	-17.027
1917	2265	8	0.914	58.005
2305	4242	8	0.8261	-79.956
1159	1347	8	0.8498	17.027
4219	4242	8	0.8826	-44.919
478	4219	8	0.8678	61.946
423	1159	8	0.9215	-0.000
2555	4219	8	0.9153	0.000
1347	4242	8	0.9116	-79.956
423	4219	8	0.8612	-18.011
409	1347	8	1.0	-0.000
1159	2555	8	0.9145	-18.011
478	4242	8	0.9018	17.027
2555	4218	8	0.8814	0.001
423	2555	8	0.9191	-18.011
1159	4218	8	0.8338	-18.010
494	4242	8	0.8371	35.038
4218	4242	8	0.9012	-44.920
494	4218	8	0.8709	79.958
478	2265	8	0.8901	107.988
409	665	8	0.8222	36.021
494	2555	8	0.854	79.957
423	494	8	0.8438	-97.968
409	2555	8	0.8923	-35.038
660	2952	9	0.7496	-17.026
717	2952	9	0.8157	329.159
1877	1887	12	0.9433	-44.027
1896	4342	12	0.8925	60.023
1866	4343	12	0.9041	-116.084
1831	1877	12	0.9	-140.156
1866	1896	12	0.9096	-132.078
1887	4318	12	0.907	58.044
1866	1877	12	0.9052	-44.026
1877	4343	12	0.897	-72.059
4323	4343	12	0.914	30.010
1831	1887	12	0.9139	-184.183
1866	3845	12	0.8953	-14.016
1887	4343	12	0.9334	-28.031
1831	3011	12	0.9005	44.027
1877	4318	12	0.919	14.017
3449	3547	12	0.927	88.052
1887	4320	12	0.9452	-14.016
4319	4320	12	0.9266	-28.031
1896	4319	12	0.91	58.041
1887	4342	12	0.9257	15.997
1831	3653	12	0.944	-88.051
3547	4343	12	0.8852	-168.188
3704	4319	12	0.8982	86.071
3547	3653	12	0.8965	-44.025
3704	4322	12	0.9091	42.047
1866	4342	12	0.9074	-72.056
4318	4319	12	0.8844	-44.029
1877	1896	12	0.9147	-88.053
3449	3653	12	0.9211	44.027
4320	4323	12	0.9064	-44.025
1896	4322	12	0.8967	14.017
1896	4320	12	0.905	30.010
