Animal	zt_time_binned	condition	mn_RER	sd_RER	mn_MotorAct	sd_MotorAct	mn_WaterCons	sd_WaterCons	mn_kcal_hr_M	sd_kcal_hr_M	mn_FoodCons	sd_FoodCons	mn_kcalCons	sd_kcalCons	mn_Sleep_pct_M	sd_Sleep_pct_M
16	9	FT	0.6278427125	0.0169513329394507	0.081216325	0.114674330532821	0.0596770000000001	0.0511057425512464	0.3405475875	0.0265809050677059	0	0	0	0	95.3298625	6.84943728990043
16	13	FT	0.650818475	0.0361017330627037	0.5337378625	0.470641824513604	0.308613	0.346206421867896	0.4414709	0.113186633303168	0.190941175	0.253918398324607	0.99480352175	1.3229148552712	63.29166625	33.8982409093814
16	17	FT	0.6496455625	0.0111108772097999	0.6664435	0.324883476478656	0.835863125	0.109883928122149	0.546762675	0.0627687859178373	0.491138075	0.507817307268655	2.55882937075	2.64572817086969	52.18055625	26.3041870226977
16	21	FT	0.6640479625	0.0210660092834023	0.808148625	0.464765590165604	0.689894	0.157024163724659	0.5315271125	0.0552489792853209	0.190553875	0.121065054399263	0.99278568875	0.630748933420158	53.66319375	25.0065701449313
2	1	FA	0.6553124	0.0151629168765995	0.855091	0.341063245750697	0.28748375	0.105938155809179	0.4240644	0.0132266854394188	0.1227665	0.048730407649297	0.639613464999999	0.253885423852837	65.20139	12.4232506696785
2	5	FA	0.6458069	0.0314469346163574	1.05784289166667	0.662490715094933	0.241369989166667	0.116088280388719	0.434015616666667	0.0407001920305461	0.1008429025	0.0506820440677948	0.525391522025	0.264053449593211	55.2476850833333	28.4060346154432
2	9	FA	0.6535457875	0.0146616024302001	0.740100375	0.229879107781172	0.33816675	0.0513254188285744	0.411996075	0.0107035422486136	0.2121181125	0.403149148655328	1.105135366125	2.10040706449426	69.45833375	6.36479273822338
2	13	FA	0.6775899625	0.0173415577917768	1.30477175	0.4846464020001	0.49830375	0.110722208982338	0.5033775875	0.0779316141865131	0.095813875	0.0812228241065237	0.49919028875	0.423170913594988	41.22222375	22.9882183968602
2	17	FA	0.63651425	0.0099106055912701	1.272261375	0.416193346222278	0.534272125	0.044686153097984	0.5398690875	0.0432244838431526	0.188425	0.0939831989347032	0.98169425	0.489652466449803	42.47569375	20.4700448240377
2	21	FA	0.6515239375	0.0102107491036145	1.2855142625	0.544309218487467	0.39146625	0.196676130632316	0.4993316625	0.0544637745919757	0.13906125	0.0720990518339674	0.7245091125	0.37563606005497	44.28819375	24.1282845515412
3	1	NA	0.688564725	0.039588889528787	0.809138375	0.642159219513792	1.24903	0.406730736892768	0.482969975	0.073003171095799	0.2195105	0.0956445805451966	0.680482550000001	0.29649819969011	56.270835	33.8272013778197
3	5	NA	0.6628768	0.0645193565205189	0.380583291666667	0.427821327545009	0.339548925	0.251097215175134	0.382428858333333	0.046559968984027	0.0521576933333333	0.0521009508385044	0.161688849333333	0.161512947599364	78.3865766666667	24.1964164226307
3	9	NA	0.673057325	0.0533164242309668	0.3821202	0.287483162237433	0.602527	0.395840113070561	0.3962609	0.0442342033853572	0.1885108	0.131883048260668	0.58438348	0.408837449608072	75.68055625	18.8234630516445
3	13	NA	0.6806582	0.0458529157844016	0.470943075	0.362365129879147	0.8315255	0.485206486950807	0.4458632625	0.0814189254198475	0.2158491375	0.222999607954767	0.66913232625	0.691298784659778	67.51389125	26.2154703241537
3	17	NA	0.698232525	0.0344324718103939	0.86141475	0.439185263126345	1.6048055	0.709087048205347	0.5314229375	0.087270233378675	0.38539125	0.265047167418367	1.194712875	0.821646218996939	42.6666675	29.2451411056478
3	21	NA	0.6947163125	0.0159849874759714	0.7545745	0.337882208882242	1.52187375	0.451867999560475	0.5151075875	0.0606697729924275	0.55275925	0.283330614176014	1.713553675	0.878324903945643	54.82291625	20.4153132531384
4	1	FT	0.626723625	0.017799192073495	0.8911205	0.496355984689416	0.183988	0.0919089947103465	0.423145025	0.0380894986217439	0	0	0	0	57.083335	18.4940055364407
4	5	FT	0.636168158333333	0.021734713532732	0.777964208333333	0.656311311659596	0.0785558141666666	0.0881733364738633	0.3682428	0.0373611073639907	0	0	0	0	70.5462933333333	23.4336118036517
4	9	FT	0.6784512625	0.0309109491775019	0.35183711725	0.370256266454996	0.0352515499999999	0.047660391271339	0.3306157	0.0196636262143365	0	0	0	0	84.68402875	15.1772876394071
